PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abaixo,1.0,186.0,53.76344,3.0,41892.0,0.71613,75.07527,0.01332,deodoro-da-fonseca
abolida,1.0,186.0,53.76344,1.0,41892.0,0.23871,225.22581,0.00444,deodoro-da-fonseca
acaba,1.0,186.0,53.76344,2.0,41892.0,0.47742,112.6129,0.00888,deodoro-da-fonseca
acabam,1.0,186.0,53.76344,1.0,41892.0,0.23871,225.22581,0.00444,deodoro-da-fonseca
acha,1.0,186.0,53.76344,3.0,41892.0,0.71613,75.07527,0.01332,deodoro-da-fonseca
administração,1.0,186.0,53.76344,31.0,41892.0,7.39998,7.26535,0.13764,deodoro-da-fonseca
adquiridos,1.0,186.0,53.76344,2.0,41892.0,0.47742,112.6129,0.00888,deodoro-da-fonseca
agente,1.0,186.0,53.76344,3.0,41892.0,0.71613,75.07527,0.01332,deodoro-da-fonseca
alcance,1.0,186.0,53.76344,12.0,41892.0,2.86451,18.76882,0.05328,deodoro-da-fonseca
anterior,1.0,186.0,53.76344,1.0,41892.0,0.23871,225.22581,0.00444,deodoro-da-fonseca
aqui,1.0,186.0,53.76344,50.0,41892.0,11.93545,4.50452,0.222,deodoro-da-fonseca
armada,2.0,186.0,107.52688,4.0,41892.0,0.95484,112.6129,0.00888,deodoro-da-fonseca
assim,1.0,186.0,53.76344,89.0,41892.0,21.24511,2.53063,0.39516,deodoro-da-fonseca
ato,1.0,186.0,53.76344,19.0,41892.0,4.53547,11.85399,0.08436,deodoro-da-fonseca
atribuições,1.0,186.0,53.76344,5.0,41892.0,1.19355,45.04516,0.0222,deodoro-da-fonseca
bem,3.0,186.0,161.29032,91.0,41892.0,21.72252,7.42503,0.13468,deodoro-da-fonseca
brasil,1.0,186.0,53.76344,279.0,41892.0,66.59983,0.80726,1.23876,deodoro-da-fonseca
cada,1.0,186.0,53.76344,96.0,41892.0,22.91607,2.3461,0.42624,deodoro-da-fonseca
caráter,1.0,186.0,53.76344,20.0,41892.0,4.77418,11.26129,0.0888,deodoro-da-fonseca
chefe,1.0,186.0,53.76344,14.0,41892.0,3.34193,16.08756,0.06216,deodoro-da-fonseca
cidadãos,2.0,186.0,107.52688,17.0,41892.0,4.05805,26.49715,0.03774,deodoro-da-fonseca
civil,1.0,186.0,53.76344,19.0,41892.0,4.53547,11.85399,0.08436,deodoro-da-fonseca
competentes,1.0,186.0,53.76344,5.0,41892.0,1.19355,45.04516,0.0222,deodoro-da-fonseca
compromissos,1.0,186.0,53.76344,26.0,41892.0,6.20644,8.66253,0.11544,deodoro-da-fonseca
comunhão,1.0,186.0,53.76344,7.0,41892.0,1.67096,32.17512,0.03108,deodoro-da-fonseca
concidadãos,5.0,186.0,268.8172,14.0,41892.0,3.34193,80.43779,0.01243,deodoro-da-fonseca
conselho,1.0,186.0,53.76344,6.0,41892.0,1.43225,37.53763,0.02664,deodoro-da-fonseca
continuarão,1.0,186.0,53.76344,1.0,41892.0,0.23871,225.22581,0.00444,deodoro-da-fonseca
