PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abnegação,1.0,395.0,25.31646,2.0,41683.0,0.47981,52.76329,0.01895,floriano-peixoto
abolição,1.0,395.0,25.31646,3.0,41683.0,0.71972,35.17553,0.02843,floriano-peixoto
abundantes,1.0,395.0,25.31646,2.0,41683.0,0.47981,52.76329,0.01895,floriano-peixoto
acontecimentos,1.0,395.0,25.31646,7.0,41683.0,1.67934,15.07523,0.06633,floriano-peixoto
administração,2.0,395.0,50.63291,30.0,41683.0,7.19718,7.03511,0.14214,floriano-peixoto
afim,1.0,395.0,25.31646,3.0,41683.0,0.71972,35.17553,0.02843,floriano-peixoto
agrícola,1.0,395.0,25.31646,12.0,41683.0,2.87887,8.79388,0.11372,floriano-peixoto
ainda,1.0,395.0,25.31646,112.0,41683.0,26.86947,0.9422,1.06134,floriano-peixoto
amor,2.0,395.0,50.63291,12.0,41683.0,2.87887,17.58776,0.05686,floriano-peixoto
anais,1.0,395.0,25.31646,1.0,41683.0,0.23991,105.52658,0.00948,floriano-peixoto
anos,1.0,395.0,25.31646,73.0,41683.0,17.51313,1.44557,0.69177,floriano-peixoto
armada,1.0,395.0,25.31646,5.0,41683.0,1.19953,21.10532,0.04738,floriano-peixoto
armadas,1.0,395.0,25.31646,26.0,41683.0,6.23755,4.05871,0.24638,floriano-peixoto
armas,2.0,395.0,50.63291,3.0,41683.0,0.71972,70.35105,0.01421,floriano-peixoto
atitude,1.0,395.0,25.31646,9.0,41683.0,2.15915,11.72518,0.08529,floriano-peixoto
ato,2.0,395.0,50.63291,18.0,41683.0,4.31831,11.72518,0.08529,floriano-peixoto
aumenta,1.0,395.0,25.31646,4.0,41683.0,0.95962,26.38165,0.03791,floriano-peixoto
bem,1.0,395.0,25.31646,93.0,41683.0,22.31125,1.13469,0.88129,floriano-peixoto
bons,1.0,395.0,25.31646,8.0,41683.0,1.91925,13.19082,0.07581,floriano-peixoto
brasileiros,2.0,395.0,50.63291,125.0,41683.0,29.98824,1.68843,0.59227,floriano-peixoto
capital,1.0,395.0,25.31646,31.0,41683.0,7.43708,3.40408,0.29376,floriano-peixoto
cidade,1.0,395.0,25.31646,9.0,41683.0,2.15915,11.72518,0.08529,floriano-peixoto
