PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abalado,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
abalo,1.0,683.0,14.64129,4.0,41395.0,0.9663,15.1519,0.066,prudente-de-moraes
aceitando,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
aconteceu,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
acontecimentos,1.0,683.0,14.64129,7.0,41395.0,1.69103,8.65823,0.1155,prudente-de-moraes
administração,1.0,683.0,14.64129,31.0,41395.0,7.48883,1.95508,0.51149,prudente-de-moraes
admirável,1.0,683.0,14.64129,7.0,41395.0,1.69103,8.65823,0.1155,prudente-de-moraes
adotado,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
adversos,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
adversários,2.0,683.0,29.28258,1.0,41395.0,0.24158,121.21523,0.00825,prudente-de-moraes
agitações,2.0,683.0,29.28258,4.0,41395.0,0.9663,30.30381,0.033,prudente-de-moraes
agravaram,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
agricultura,2.0,683.0,29.28258,19.0,41395.0,4.58993,6.37975,0.15675,prudente-de-moraes
ainda,2.0,683.0,29.28258,111.0,41395.0,26.81483,1.09203,0.91573,prudente-de-moraes
alvo,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
amigas,1.0,683.0,14.64129,6.0,41395.0,1.44945,10.10127,0.099,prudente-de-moraes
anarquia,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
animação,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
ano,1.0,683.0,14.64129,35.0,41395.0,8.45513,1.73165,0.57749,prudente-de-moraes
anos,1.0,683.0,14.64129,73.0,41395.0,17.63498,0.83024,1.20447,prudente-de-moraes
apesar,1.0,683.0,14.64129,14.0,41395.0,3.38205,4.32912,0.23099,prudente-de-moraes
apoio,2.0,683.0,29.28258,57.0,41395.0,13.76978,2.12658,0.47024,prudente-de-moraes
ardente,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
arrancada,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
arrecadação,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
aspiração,1.0,683.0,14.64129,12.0,41395.0,2.8989,5.05063,0.19799,prudente-de-moraes
assegurar,1.0,683.0,14.64129,22.0,41395.0,5.31465,2.75489,0.36299,prudente-de-moraes
assim,2.0,683.0,29.28258,88.0,41395.0,21.25861,1.37745,0.72598,prudente-de-moraes
assumindo,1.0,683.0,14.64129,5.0,41395.0,1.20788,12.12152,0.0825,prudente-de-moraes
atribuições,1.0,683.0,14.64129,5.0,41395.0,1.20788,12.12152,0.0825,prudente-de-moraes
atritos,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
atuais,1.0,683.0,14.64129,7.0,41395.0,1.69103,8.65823,0.1155,prudente-de-moraes
atual,1.0,683.0,14.64129,17.0,41395.0,4.10678,3.56515,0.28049,prudente-de-moraes
aumentados,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
autonomia,2.0,683.0,29.28258,11.0,41395.0,2.65733,11.01957,0.09075,prudente-de-moraes
autoridade,2.0,683.0,29.28258,16.0,41395.0,3.8652,7.57595,0.132,prudente-de-moraes
bandeira,1.0,683.0,14.64129,5.0,41395.0,1.20788,12.12152,0.0825,prudente-de-moraes
base,1.0,683.0,14.64129,29.0,41395.0,7.00568,2.08992,0.47849,prudente-de-moraes
bastante,1.0,683.0,14.64129,5.0,41395.0,1.20788,12.12152,0.0825,prudente-de-moraes
bem,2.0,683.0,29.28258,92.0,41395.0,22.22491,1.31756,0.75898,prudente-de-moraes
beneficio,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
benemérito,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
benéfica,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
brasil,2.0,683.0,29.28258,278.0,41395.0,67.15787,0.43603,2.29344,prudente-de-moraes
brasileira,1.0,683.0,14.64129,68.0,41395.0,16.4271,0.89129,1.12197,prudente-de-moraes
brasileiros,1.0,683.0,14.64129,126.0,41395.0,30.43846,0.48101,2.07895,prudente-de-moraes
caminho,2.0,683.0,29.28258,28.0,41395.0,6.7641,4.32912,0.23099,prudente-de-moraes
capital,1.0,683.0,14.64129,31.0,41395.0,7.48883,1.95508,0.51149,prudente-de-moraes
cargo,1.0,683.0,14.64129,7.0,41395.0,1.69103,8.65823,0.1155,prudente-de-moraes
centralização,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
chefe,1.0,683.0,14.64129,14.0,41395.0,3.38205,4.32912,0.23099,prudente-de-moraes
cidadãos,1.0,683.0,14.64129,18.0,41395.0,4.34835,3.36709,0.29699,prudente-de-moraes
circulante,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
coligação,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
competentes,1.0,683.0,14.64129,5.0,41395.0,1.20788,12.12152,0.0825,prudente-de-moraes
completa,1.0,683.0,14.64129,7.0,41395.0,1.69103,8.65823,0.1155,prudente-de-moraes
compromissos,2.0,683.0,29.28258,25.0,41395.0,6.03938,4.84861,0.20624,prudente-de-moraes
comércio,1.0,683.0,14.64129,31.0,41395.0,7.48883,1.95508,0.51149,prudente-de-moraes
concidadãos,1.0,683.0,14.64129,18.0,41395.0,4.34835,3.36709,0.29699,prudente-de-moraes
concreta,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
condição,1.0,683.0,14.64129,14.0,41395.0,3.38205,4.32912,0.23099,prudente-de-moraes
condições,2.0,683.0,29.28258,65.0,41395.0,15.70238,1.86485,0.53624,prudente-de-moraes
confiança,2.0,683.0,29.28258,61.0,41395.0,14.73608,1.98713,0.50324,prudente-de-moraes
conheço,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
consagrada,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
consciência,1.0,683.0,14.64129,34.0,41395.0,8.21355,1.78258,0.56099,prudente-de-moraes
consenso,1.0,683.0,14.64129,7.0,41395.0,1.69103,8.65823,0.1155,prudente-de-moraes
consequências,1.0,683.0,14.64129,9.0,41395.0,2.17418,6.73418,0.1485,prudente-de-moraes
constantes,1.0,683.0,14.64129,4.0,41395.0,0.9663,15.1519,0.066,prudente-de-moraes
constitucionais,1.0,683.0,14.64129,13.0,41395.0,3.14048,4.66212,0.21449,prudente-de-moraes
constituição,4.0,683.0,58.56515,57.0,41395.0,13.76978,4.25317,0.23512,prudente-de-moraes
contra,1.0,683.0,14.64129,60.0,41395.0,14.4945,1.01013,0.98997,prudente-de-moraes
contribuir,1.0,683.0,14.64129,8.0,41395.0,1.9326,7.57595,0.132,prudente-de-moraes
convencer,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
convertido,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
cooperação,1.0,683.0,14.64129,25.0,41395.0,6.03938,2.4243,0.41249,prudente-de-moraes
coragem,1.0,683.0,14.64129,22.0,41395.0,5.31465,2.75489,0.36299,prudente-de-moraes
corresponder,1.0,683.0,14.64129,11.0,41395.0,2.65733,5.50978,0.1815,prudente-de-moraes
credito,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
cujo,1.0,683.0,14.64129,7.0,41395.0,1.69103,8.65823,0.1155,prudente-de-moraes
cumpre-me,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
danos,2.0,683.0,29.28258,3.0,41395.0,0.72473,40.40508,0.02475,prudente-de-moraes
daí,1.0,683.0,14.64129,14.0,41395.0,3.38205,4.32912,0.23099,prudente-de-moraes
decisiva,1.0,683.0,14.64129,5.0,41395.0,1.20788,12.12152,0.0825,prudente-de-moraes
dedicados,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
dedicação,1.0,683.0,14.64129,7.0,41395.0,1.69103,8.65823,0.1155,prudente-de-moraes
defender,1.0,683.0,14.64129,14.0,41395.0,3.38205,4.32912,0.23099,prudente-de-moraes
defendê-las,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
democracia,1.0,683.0,14.64129,66.0,41395.0,15.94395,0.9183,1.08897,prudente-de-moraes
democrático,1.0,683.0,14.64129,21.0,41395.0,5.07308,2.88608,0.34649,prudente-de-moraes
depreciado,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
desde,1.0,683.0,14.64129,46.0,41395.0,11.11245,1.31756,0.75898,prudente-de-moraes
desempenho,2.0,683.0,29.28258,10.0,41395.0,2.41575,12.12152,0.0825,prudente-de-moraes
desenvolvendo,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
desenvolvimento,2.0,683.0,29.28258,121.0,41395.0,29.23058,1.00178,0.99822,prudente-de-moraes
desideratum,1.0,683.0,14.64129,5.0,41395.0,1.20788,12.12152,0.0825,prudente-de-moraes
despesa,1.0,683.0,14.64129,5.0,41395.0,1.20788,12.12152,0.0825,prudente-de-moraes
despesas,1.0,683.0,14.64129,35.0,41395.0,8.45513,1.73165,0.57749,prudente-de-moraes
dessa,1.0,683.0,14.64129,39.0,41395.0,9.42143,1.55404,0.64348,prudente-de-moraes
desse,2.0,683.0,29.28258,22.0,41395.0,5.31465,5.50978,0.1815,prudente-de-moraes
destinos,1.0,683.0,14.64129,13.0,41395.0,3.14048,4.66212,0.21449,prudente-de-moraes
deu,1.0,683.0,14.64129,11.0,41395.0,2.65733,5.50978,0.1815,prudente-de-moraes
deve,1.0,683.0,14.64129,63.0,41395.0,15.21923,0.96203,1.03947,prudente-de-moraes
devem,1.0,683.0,14.64129,32.0,41395.0,7.7304,1.89399,0.52799,prudente-de-moraes
dever,1.0,683.0,14.64129,44.0,41395.0,10.6293,1.37745,0.72598,prudente-de-moraes
dificuldades,1.0,683.0,14.64129,23.0,41395.0,5.55623,2.63511,0.37949,prudente-de-moraes
difícil,1.0,683.0,14.64129,21.0,41395.0,5.07308,2.88608,0.34649,prudente-de-moraes
dignidade,1.0,683.0,14.64129,17.0,41395.0,4.10678,3.56515,0.28049,prudente-de-moraes
direitos,1.0,683.0,14.64129,74.0,41395.0,17.87656,0.81902,1.22097,prudente-de-moraes
ditadura,1.0,683.0,14.64129,5.0,41395.0,1.20788,12.12152,0.0825,prudente-de-moraes
dominado,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
durante,3.0,683.0,43.92387,12.0,41395.0,2.8989,15.1519,0.066,prudente-de-moraes
déficit,1.0,683.0,14.64129,13.0,41395.0,3.14048,4.66212,0.21449,prudente-de-moraes
economia,1.0,683.0,14.64129,77.0,41395.0,18.60128,0.78711,1.27047,prudente-de-moraes
economizada,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
eficaz,1.0,683.0,14.64129,4.0,41395.0,0.9663,15.1519,0.066,prudente-de-moraes
eficazmente,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
eleitoral,1.0,683.0,14.64129,34.0,41395.0,8.21355,1.78258,0.56099,prudente-de-moraes
elementos,1.0,683.0,14.64129,25.0,41395.0,6.03938,2.4243,0.41249,prudente-de-moraes
elevado,1.0,683.0,14.64129,9.0,41395.0,2.17418,6.73418,0.1485,prudente-de-moraes
elevar,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
embaraços,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
empregando,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
emprego,1.0,683.0,14.64129,22.0,41395.0,5.31465,2.75489,0.36299,prudente-de-moraes
encargos,1.0,683.0,14.64129,11.0,41395.0,2.65733,5.50978,0.1815,prudente-de-moraes
energicamente,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
enormes,1.0,683.0,14.64129,7.0,41395.0,1.69103,8.65823,0.1155,prudente-de-moraes
entretanto,1.0,683.0,14.64129,23.0,41395.0,5.55623,2.63511,0.37949,prudente-de-moraes
escolas,1.0,683.0,14.64129,21.0,41395.0,5.07308,2.88608,0.34649,prudente-de-moraes
esfera,1.0,683.0,14.64129,9.0,41395.0,2.17418,6.73418,0.1485,prudente-de-moraes
esforços,2.0,683.0,29.28258,27.0,41395.0,6.52253,4.48945,0.22274,prudente-de-moraes
especialmente,2.0,683.0,29.28258,17.0,41395.0,4.10678,7.13031,0.14025,prudente-de-moraes
espero,1.0,683.0,14.64129,21.0,41395.0,5.07308,2.88608,0.34649,prudente-de-moraes
espécie,1.0,683.0,14.64129,10.0,41395.0,2.41575,6.06076,0.165,prudente-de-moraes
estabilidade,2.0,683.0,29.28258,26.0,41395.0,6.28095,4.66212,0.21449,prudente-de-moraes
estado,1.0,683.0,14.64129,133.0,41395.0,32.12948,0.4557,2.19444,prudente-de-moraes
estados,3.0,683.0,43.92387,65.0,41395.0,15.70238,2.79727,0.35749,prudente-de-moraes
estar,3.0,683.0,43.92387,30.0,41395.0,7.24725,6.06076,0.165,prudente-de-moraes
estrangeiras,1.0,683.0,14.64129,9.0,41395.0,2.17418,6.73418,0.1485,prudente-de-moraes
execução,1.0,683.0,14.64129,12.0,41395.0,2.8989,5.05063,0.19799,prudente-de-moraes
exercício,1.0,683.0,14.64129,25.0,41395.0,6.03938,2.4243,0.41249,prudente-de-moraes
exige,1.0,683.0,14.64129,19.0,41395.0,4.58993,3.18987,0.31349,prudente-de-moraes
existência,2.0,683.0,29.28258,21.0,41395.0,5.07308,5.77215,0.17325,prudente-de-moraes
expansão,2.0,683.0,29.28258,15.0,41395.0,3.62363,8.08102,0.12375,prudente-de-moraes
exploração,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
expressão,1.0,683.0,14.64129,13.0,41395.0,3.14048,4.66212,0.21449,prudente-de-moraes
exterior,1.0,683.0,14.64129,15.0,41395.0,3.62363,4.04051,0.24749,prudente-de-moraes
extraordinária,1.0,683.0,14.64129,4.0,41395.0,0.9663,15.1519,0.066,prudente-de-moraes
extraordinárias,1.0,683.0,14.64129,4.0,41395.0,0.9663,15.1519,0.066,prudente-de-moraes
extraordinário,1.0,683.0,14.64129,5.0,41395.0,1.20788,12.12152,0.0825,prudente-de-moraes
fazenda,2.0,683.0,29.28258,2.0,41395.0,0.48315,60.60761,0.0165,prudente-de-moraes
federação,1.0,683.0,14.64129,9.0,41395.0,2.17418,6.73418,0.1485,prudente-de-moraes
felicidade,2.0,683.0,29.28258,7.0,41395.0,1.69103,17.31646,0.05775,prudente-de-moraes
felizmente,1.0,683.0,14.64129,12.0,41395.0,2.8989,5.05063,0.19799,prudente-de-moraes
feridos,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
fevereiro,2.0,683.0,29.28258,3.0,41395.0,0.72473,40.40508,0.02475,prudente-de-moraes
fiel,1.0,683.0,14.64129,6.0,41395.0,1.44945,10.10127,0.099,prudente-de-moraes
financeira,1.0,683.0,14.64129,35.0,41395.0,8.45513,1.73165,0.57749,prudente-de-moraes
firmando,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
fiscalizada,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
fiscalização,1.0,683.0,14.64129,5.0,41395.0,1.20788,12.12152,0.0825,prudente-de-moraes
forma,2.0,683.0,29.28258,47.0,41395.0,11.35403,2.57905,0.38774,prudente-de-moraes
fortalecido,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
fortes,1.0,683.0,14.64129,4.0,41395.0,0.9663,15.1519,0.066,prudente-de-moraes
fortuna,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
forças,3.0,683.0,43.92387,75.0,41395.0,18.11813,2.4243,0.41249,prudente-de-moraes
funcionamento,1.0,683.0,14.64129,7.0,41395.0,1.69103,8.65823,0.1155,prudente-de-moraes
fundamental,1.0,683.0,14.64129,26.0,41395.0,6.28095,2.33106,0.42899,prudente-de-moraes
funestas,1.0,683.0,14.64129,4.0,41395.0,0.9663,15.1519,0.066,prudente-de-moraes
fácil,1.0,683.0,14.64129,8.0,41395.0,1.9326,7.57595,0.132,prudente-de-moraes
garantia,2.0,683.0,29.28258,20.0,41395.0,4.8315,6.06076,0.165,prudente-de-moraes
garantias,1.0,683.0,14.64129,12.0,41395.0,2.8989,5.05063,0.19799,prudente-de-moraes
geração,2.0,683.0,29.28258,22.0,41395.0,5.31465,5.50978,0.1815,prudente-de-moraes
governo,2.0,683.0,29.28258,273.0,41395.0,65.94999,0.44401,2.25219,prudente-de-moraes
gradual,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
grande,2.0,683.0,29.28258,99.0,41395.0,23.91593,1.2244,0.81673,prudente-de-moraes
grandemente,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
grandes,1.0,683.0,14.64129,57.0,41395.0,13.76978,1.06329,0.94048,prudente-de-moraes
grandeza,1.0,683.0,14.64129,19.0,41395.0,4.58993,3.18987,0.31349,prudente-de-moraes
graças,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
guarda,1.0,683.0,14.64129,4.0,41395.0,0.9663,15.1519,0.066,prudente-de-moraes
harmonia,1.0,683.0,14.64129,17.0,41395.0,4.10678,3.56515,0.28049,prudente-de-moraes
harmônica,1.0,683.0,14.64129,3.0,41395.0,0.72473,20.20254,0.0495,prudente-de-moraes
havendo,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
haver,1.0,683.0,14.64129,10.0,41395.0,2.41575,6.06076,0.165,prudente-de-moraes
hoje,2.0,683.0,29.28258,99.0,41395.0,23.91593,1.2244,0.81673,prudente-de-moraes
honrosa,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
imigrantes,1.0,683.0,14.64129,2.0,41395.0,0.48315,30.30381,0.033,prudente-de-moraes
imperioso,1.0,683.0,14.64129,5.0,41395.0,1.20788,12.12152,0.0825,prudente-de-moraes
imposta,1.0,683.0,14.64129,1.0,41395.0,0.24158,60.60761,0.0165,prudente-de-moraes
