PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abandonando,1.0,1975.0,5.06329,1.0,40103.0,0.24936,20.30532,0.04925,campos-sales
aberto,2.0,1975.0,10.12658,8.0,40103.0,1.99486,5.07633,0.19699,campos-sales
abertos,1.0,1975.0,5.06329,3.0,40103.0,0.74807,6.76844,0.14774,campos-sales
abertura,1.0,1975.0,5.06329,9.0,40103.0,2.24422,2.25615,0.44323,campos-sales
absoluta,2.0,1975.0,10.12658,10.0,40103.0,2.49358,4.06106,0.24624,campos-sales
absolutamente,1.0,1975.0,5.06329,6.0,40103.0,1.49615,3.38422,0.29549,campos-sales
absurdo,1.0,1975.0,5.06329,1.0,40103.0,0.24936,20.30532,0.04925,campos-sales
acabo,1.0,1975.0,5.06329,3.0,40103.0,0.74807,6.76844,0.14774,campos-sales
acarretando,1.0,1975.0,5.06329,1.0,40103.0,0.24936,20.30532,0.04925,campos-sales
acaso,1.0,1975.0,5.06329,3.0,40103.0,0.74807,6.76844,0.14774,campos-sales
acha,1.0,1975.0,5.06329,3.0,40103.0,0.74807,6.76844,0.14774,campos-sales
acham,2.0,1975.0,10.12658,4.0,40103.0,0.99743,10.15266,0.0985,campos-sales
acima,2.0,1975.0,10.12658,12.0,40103.0,2.99229,3.38422,0.29549,campos-sales
acolhida,1.0,1975.0,5.06329,1.0,40103.0,0.24936,20.30532,0.04925,campos-sales
aconselhava,1.0,1975.0,5.06329,1.0,40103.0,0.24936,20.30532,0.04925,campos-sales
acontecimentos,2.0,1975.0,10.12658,6.0,40103.0,1.49615,6.76844,0.14774,campos-sales
acordo,3.0,1975.0,15.18987,11.0,40103.0,2.74294,5.53781,0.18058,campos-sales
acreditar,1.0,1975.0,5.06329,8.0,40103.0,1.99486,2.53816,0.39399,campos-sales
acrescenta,1.0,1975.0,5.06329,1.0,40103.0,0.24936,20.30532,0.04925,campos-sales
acrescentar,1.0,1975.0,5.06329,1.0,40103.0,0.24936,20.30532,0.04925,campos-sales
adequada,1.0,1975.0,5.06329,3.0,40103.0,0.74807,6.76844,0.14774,campos-sales
adequados,1.0,1975.0,5.06329,2.0,40103.0,0.49872,10.15266,0.0985,campos-sales
adiáveis,1.0,1975.0,5.06329,3.0,40103.0,0.74807,6.76844,0.14774,campos-sales
administrativa,1.0,1975.0,5.06329,4.0,40103.0,0.99743,5.07633,0.19699,campos-sales
administrativos,1.0,1975.0,5.06329,1.0,40103.0,0.24936,20.30532,0.04925,campos-sales
administração,3.0,1975.0,15.18987,29.0,40103.0,7.23138,2.10055,0.47607,campos-sales
admirável,2.0,1975.0,10.12658,6.0,40103.0,1.49615,6.76844,0.14774,campos-sales
adotadas,1.0,1975.0,5.06329,3.0,40103.0,0.74807,6.76844,0.14774,campos-sales
adotado,1.0,1975.0,5.06329,2.0,40103.0,0.49872,10.15266,0.0985,campos-sales
adotando,1.0,1975.0,5.06329,1.0,40103.0,0.24936,20.30532,0.04925,campos-sales
afetar,2.0,1975.0,10.12658,3.0,40103.0,0.74807,13.53688,0.07387,campos-sales
afirmação,1.0,1975.0,5.06329,10.0,40103.0,2.49358,2.03053,0.49248,campos-sales
afirmo,1.0,1975.0,5.06329,2.0,40103.0,0.49872,10.15266,0.0985,campos-sales
agentes,2.0,1975.0,10.12658,8.0,40103.0,1.99486,5.07633,0.19699,campos-sales
agir,3.0,1975.0,15.18987,5.0,40103.0,1.24679,12.18319,0.08208,campos-sales
agitações,1.0,1975.0,5.06329,5.0,40103.0,1.24679,4.06106,0.24624,campos-sales
agora,3.0,1975.0,15.18987,37.0,40103.0,9.22624,1.64638,0.60739,campos-sales
