PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
000:000,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
abalizados,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
abalo,1.0,1994.0,5.01505,4.0,40084.0,0.9979,5.02558,0.19898,afonso-penna
abastecimento,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
abolição,1.0,1994.0,5.01505,3.0,40084.0,0.74843,6.70077,0.14924,afonso-penna
abundância,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
acelerar,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
acompanhar,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
acordo,3.0,1994.0,15.04514,11.0,40084.0,2.74424,5.48245,0.1824,afonso-penna
adotar,2.0,1994.0,10.03009,4.0,40084.0,0.9979,10.05115,0.09949,afonso-penna
adoção,2.0,1994.0,10.03009,4.0,40084.0,0.9979,10.05115,0.09949,afonso-penna
adversos,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
afastarei,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
afiguram,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
afim,1.0,1994.0,5.01505,3.0,40084.0,0.74843,6.70077,0.14924,afonso-penna
afirmar,1.0,1994.0,5.01505,4.0,40084.0,0.9979,5.02558,0.19898,afonso-penna
afirmação,1.0,1994.0,5.01505,10.0,40084.0,2.49476,2.01023,0.49746,afonso-penna
agir,1.0,1994.0,5.01505,7.0,40084.0,1.74633,2.87176,0.34822,afonso-penna
agressivas,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
agressão,1.0,1994.0,5.01505,3.0,40084.0,0.74843,6.70077,0.14924,afonso-penna
agricultura,1.0,1994.0,5.01505,20.0,40084.0,4.98952,1.00512,0.99491,afonso-penna
agrícola,2.0,1994.0,10.03009,11.0,40084.0,2.74424,3.65496,0.2736,afonso-penna
agrícolas,4.0,1994.0,20.06018,3.0,40084.0,0.74843,26.80308,0.03731,afonso-penna
ainda,2.0,1994.0,10.03009,111.0,40084.0,27.69185,0.3622,2.76088,afonso-penna
ajustem,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
alcance,4.0,1994.0,20.06018,9.0,40084.0,2.24528,8.93436,0.11193,afonso-penna
alentadora,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
alfândegas,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
algum,1.0,1994.0,5.01505,6.0,40084.0,1.49686,3.35038,0.29847,afonso-penna
algumas,2.0,1994.0,10.03009,9.0,40084.0,2.24528,4.46718,0.22385,afonso-penna
alguns,3.0,1994.0,15.04514,19.0,40084.0,4.74005,3.17405,0.31506,afonso-penna
alta,5.0,1994.0,25.07523,17.0,40084.0,4.24109,5.91244,0.16913,afonso-penna
alternativas,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
alto,3.0,1994.0,15.04514,18.0,40084.0,4.49057,3.35038,0.29847,afonso-penna
ambos,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
ameaça,1.0,1994.0,5.01505,5.0,40084.0,1.24738,4.02046,0.24873,afonso-penna
americanos,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
américa,3.0,1994.0,15.04514,22.0,40084.0,5.48847,2.74122,0.3648,afonso-penna
animados,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
animam,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
animação,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
ano,7.0,1994.0,35.10532,29.0,40084.0,7.23481,4.85228,0.20609,afonso-penna
anos,6.0,1994.0,30.09027,68.0,40084.0,16.96437,1.77373,0.56378,afonso-penna
anterior,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
antes,1.0,1994.0,5.01505,42.0,40084.0,10.478,0.47863,2.08931,afonso-penna
aparelhamento,1.0,1994.0,5.01505,5.0,40084.0,1.24738,4.02046,0.24873,afonso-penna
aparelhos,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
apesar,2.0,1994.0,10.03009,13.0,40084.0,3.24319,3.09266,0.32335,afonso-penna
aplicação,2.0,1994.0,10.03009,10.0,40084.0,2.49476,4.02046,0.24873,afonso-penna
apoio,2.0,1994.0,10.03009,57.0,40084.0,14.22014,0.70534,1.41775,afonso-penna
apreço,1.0,1994.0,5.01505,5.0,40084.0,1.24738,4.02046,0.24873,afonso-penna
aproveitar,1.0,1994.0,5.01505,3.0,40084.0,0.74843,6.70077,0.14924,afonso-penna
apurada,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
aqui,2.0,1994.0,10.03009,49.0,40084.0,12.22433,0.8205,1.21877,afonso-penna
aquisição,1.0,1994.0,5.01505,3.0,40084.0,0.74843,6.70077,0.14924,afonso-penna
armada,1.0,1994.0,5.01505,5.0,40084.0,1.24738,4.02046,0.24873,afonso-penna
arte,1.0,1994.0,5.01505,3.0,40084.0,0.74843,6.70077,0.14924,afonso-penna
artificiais,1.0,1994.0,5.01505,4.0,40084.0,0.9979,5.02558,0.19898,afonso-penna
artificial,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
artigos,3.0,1994.0,15.04514,1.0,40084.0,0.24948,60.30692,0.01658,afonso-penna
aspirações,1.0,1994.0,5.01505,12.0,40084.0,2.99371,1.67519,0.59695,afonso-penna
assegurar,1.0,1994.0,5.01505,22.0,40084.0,5.48847,0.91374,1.0944,afonso-penna
assim,6.0,1994.0,30.09027,84.0,40084.0,20.95599,1.43588,0.69644,afonso-penna
assinalado,2.0,1994.0,10.03009,2.0,40084.0,0.49895,20.10231,0.04975,afonso-penna
assistir,1.0,1994.0,5.01505,4.0,40084.0,0.9979,5.02558,0.19898,afonso-penna
associações,2.0,1994.0,10.03009,1.0,40084.0,0.24948,40.20461,0.02487,afonso-penna
assombroso,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
assume,1.0,1994.0,5.01505,6.0,40084.0,1.49686,3.35038,0.29847,afonso-penna
assumir,1.0,1994.0,5.01505,12.0,40084.0,2.99371,1.67519,0.59695,afonso-penna
assumo,1.0,1994.0,5.01505,8.0,40084.0,1.99581,2.51279,0.39796,afonso-penna
assunto,1.0,1994.0,5.01505,8.0,40084.0,1.99581,2.51279,0.39796,afonso-penna
atento,1.0,1994.0,5.01505,4.0,40084.0,0.9979,5.02558,0.19898,afonso-penna
atenção,6.0,1994.0,30.09027,21.0,40084.0,5.239,5.74352,0.17411,afonso-penna
atividade,3.0,1994.0,15.04514,16.0,40084.0,3.99162,3.76918,0.26531,afonso-penna
ativo,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
ato,1.0,1994.0,5.01505,19.0,40084.0,4.74005,1.05802,0.94517,afonso-penna
atribuir,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
atual,1.0,1994.0,5.01505,17.0,40084.0,4.24109,1.18249,0.84567,afonso-penna
atuará,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
aumento,1.0,1994.0,5.01505,20.0,40084.0,4.98952,1.00512,0.99491,afonso-penna
auspicioso,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
autoridade,1.0,1994.0,5.01505,17.0,40084.0,4.24109,1.18249,0.84567,afonso-penna
autoridades,1.0,1994.0,5.01505,5.0,40084.0,1.24738,4.02046,0.24873,afonso-penna
auxiliar,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
ação,5.0,1994.0,25.07523,58.0,40084.0,14.46961,1.73296,0.57705,afonso-penna
baixa,1.0,1994.0,5.01505,7.0,40084.0,1.74633,2.87176,0.34822,afonso-penna
baixo,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
base,1.0,1994.0,5.01505,29.0,40084.0,7.23481,0.69318,1.44262,afonso-penna
basta,1.0,1994.0,5.01505,15.0,40084.0,3.74214,1.34015,0.74618,afonso-penna
bastante,1.0,1994.0,5.01505,5.0,40084.0,1.24738,4.02046,0.24873,afonso-penna
bem,10.0,1994.0,50.15045,84.0,40084.0,20.95599,2.39313,0.41786,afonso-penna
beneficiados,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
boa,2.0,1994.0,10.03009,14.0,40084.0,3.49267,2.87176,0.34822,afonso-penna
bom,1.0,1994.0,5.01505,17.0,40084.0,4.24109,1.18249,0.84567,afonso-penna
borracha,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
brasil,4.0,1994.0,20.06018,276.0,40084.0,68.8554,0.29134,3.43244,afonso-penna
brasileira,1.0,1994.0,5.01505,68.0,40084.0,16.96437,0.29562,3.3827,afonso-penna
brasileiro,3.0,1994.0,15.04514,106.0,40084.0,26.44447,0.56893,1.75768,afonso-penna
brasileiros,4.0,1994.0,20.06018,123.0,40084.0,30.68556,0.65373,1.52968,afonso-penna
bravura,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
braços,2.0,1994.0,10.03009,6.0,40084.0,1.49686,6.70077,0.14924,afonso-penna
brilhante,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
bruscas,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
caberá,1.0,1994.0,5.01505,3.0,40084.0,0.74843,6.70077,0.14924,afonso-penna
cada,2.0,1994.0,10.03009,95.0,40084.0,23.70023,0.42321,2.36291,afonso-penna
café,1.0,1994.0,5.01505,8.0,40084.0,1.99581,2.51279,0.39796,afonso-penna
calma,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
caminha,1.0,1994.0,5.01505,1.0,40084.0,0.24948,20.10231,0.04975,afonso-penna
caminhando,1.0,1994.0,5.01505,2.0,40084.0,0.49895,10.05115,0.09949,afonso-penna
campo,1.0,1994.0,5.01505,31.0,40084.0,7.73376,0.64846,1.54211,afonso-penna
capaz,1.0,1994.0,5.01505,25.0,40084.0,6.2369,0.80409,1.24364,afonso-penna
capazes,2.0,1994.0,10.03009,15.0,40084.0,3.74214,2.68031,0.37309,afonso-penna
capitais,3.0,1994.0,15.04514,12.0,40084.0,2.99371,5.02558,0.19898,afonso-penna
capital,5.0,1994.0,25.07523,27.0,40084.0,6.73585,3.72265,0.26863,afonso-penna
