PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abalado,1.0,2029.0,4.92854,1.0,40049.0,0.24969,19.73829,0.05066,venceslau-bras
abalo,1.0,2029.0,4.92854,4.0,40049.0,0.99878,4.93457,0.20265,venceslau-bras
aberto,1.0,2029.0,4.92854,9.0,40049.0,2.24725,2.19314,0.45597,venceslau-bras
abolição,1.0,2029.0,4.92854,3.0,40049.0,0.74908,6.57943,0.15199,venceslau-bras
absolutamente,2.0,2029.0,9.85707,5.0,40049.0,1.24847,7.89532,0.12666,venceslau-bras
absoluto,1.0,2029.0,4.92854,1.0,40049.0,0.24969,19.73829,0.05066,venceslau-bras
abusos,1.0,2029.0,4.92854,2.0,40049.0,0.49939,9.86915,0.10133,venceslau-bras
acabo,1.0,2029.0,4.92854,3.0,40049.0,0.74908,6.57943,0.15199,venceslau-bras
acarretaram,1.0,2029.0,4.92854,1.0,40049.0,0.24969,19.73829,0.05066,venceslau-bras
acentuar,1.0,2029.0,4.92854,2.0,40049.0,0.49939,9.86915,0.10133,venceslau-bras
acima,1.0,2029.0,4.92854,13.0,40049.0,3.24602,1.51833,0.65862,venceslau-bras
acordo,1.0,2029.0,4.92854,13.0,40049.0,3.24602,1.51833,0.65862,venceslau-bras
acreditar,1.0,2029.0,4.92854,8.0,40049.0,1.99755,2.46729,0.4053,venceslau-bras
adiáveis,2.0,2029.0,9.85707,2.0,40049.0,0.49939,19.73829,0.05066,venceslau-bras
administrativa,1.0,2029.0,4.92854,4.0,40049.0,0.99878,4.93457,0.20265,venceslau-bras
administração,2.0,2029.0,9.85707,30.0,40049.0,7.49082,1.31589,0.75994,venceslau-bras
admirável,1.0,2029.0,4.92854,7.0,40049.0,1.74786,2.81976,0.35464,venceslau-bras
adotadas,1.0,2029.0,4.92854,3.0,40049.0,0.74908,6.57943,0.15199,venceslau-bras
adstrito,1.0,2029.0,4.92854,1.0,40049.0,0.24969,19.73829,0.05066,venceslau-bras
afetar,1.0,2029.0,4.92854,4.0,40049.0,0.99878,4.93457,0.20265,venceslau-bras
afinal,1.0,2029.0,4.92854,3.0,40049.0,0.74908,6.57943,0.15199,venceslau-bras
afirma,1.0,2029.0,4.92854,4.0,40049.0,0.99878,4.93457,0.20265,venceslau-bras
afirmar,1.0,2029.0,4.92854,4.0,40049.0,0.99878,4.93457,0.20265,venceslau-bras
agir,2.0,2029.0,9.85707,6.0,40049.0,1.49816,6.57943,0.15199,venceslau-bras
agora,2.0,2029.0,9.85707,38.0,40049.0,9.48838,1.03886,0.9626,venceslau-bras
agravação,1.0,2029.0,4.92854,1.0,40049.0,0.24969,19.73829,0.05066,venceslau-bras
agricultura,1.0,2029.0,4.92854,20.0,40049.0,4.99388,0.98691,1.01326,venceslau-bras
agrícola,1.0,2029.0,4.92854,12.0,40049.0,2.99633,1.64486,0.60796,venceslau-bras
agrícolas,1.0,2029.0,4.92854,6.0,40049.0,1.49816,3.28972,0.30398,venceslau-bras
ainda,3.0,2029.0,14.78561,110.0,40049.0,27.46635,0.53832,1.85764,venceslau-bras
alcançaremos,1.0,2029.0,4.92854,1.0,40049.0,0.24969,19.73829,0.05066,venceslau-bras
algarismos,1.0,2029.0,4.92854,2.0,40049.0,0.49939,9.86915,0.10133,venceslau-bras
algum,2.0,2029.0,9.85707,5.0,40049.0,1.24847,7.89532,0.12666,venceslau-bras
algumas,1.0,2029.0,4.92854,10.0,40049.0,2.49694,1.97383,0.50663,venceslau-bras
ali,1.0,2029.0,4.92854,2.0,40049.0,0.49939,9.86915,0.10133,venceslau-bras
alistamento,2.0,2029.0,9.85707,3.0,40049.0,0.74908,13.15886,0.07599,venceslau-bras
aliás,1.0,2029.0,4.92854,6.0,40049.0,1.49816,3.28972,0.30398,venceslau-bras
alto,1.0,2029.0,4.92854,20.0,40049.0,4.99388,0.98691,1.01326,venceslau-bras
altura,1.0,2029.0,4.92854,5.0,40049.0,1.24847,3.94766,0.25331,venceslau-bras
além,3.0,2029.0,14.78561,29.0,40049.0,7.24113,2.04189,0.48974,venceslau-bras
ameaça,1.0,2029.0,4.92854,5.0,40049.0,1.24847,3.94766,0.25331,venceslau-bras
ameaçados,1.0,2029.0,4.92854,1.0,40049.0,0.24969,19.73829,0.05066,venceslau-bras
americanos,1.0,2029.0,4.92854,2.0,40049.0,0.49939,9.86915,0.10133,venceslau-bras
amizade,1.0,2029.0,4.92854,7.0,40049.0,1.74786,2.81976,0.35464,venceslau-bras
ampla,1.0,2029.0,4.92854,11.0,40049.0,2.74664,1.79439,0.55729,venceslau-bras
américa,2.0,2029.0,9.85707,23.0,40049.0,5.74296,1.71637,0.58262,venceslau-bras
anarquia,1.0,2029.0,4.92854,2.0,40049.0,0.49939,9.86915,0.10133,venceslau-bras
ano,4.0,2029.0,19.71414,32.0,40049.0,7.99021,2.46729,0.4053,venceslau-bras
ante,1.0,2029.0,4.92854,6.0,40049.0,1.49816,3.28972,0.30398,venceslau-bras
antes,1.0,2029.0,4.92854,42.0,40049.0,10.48715,0.46996,2.12784,venceslau-bras
aparelhados,1.0,2029.0,4.92854,1.0,40049.0,0.24969,19.73829,0.05066,venceslau-bras
apelo,1.0,2029.0,4.92854,4.0,40049.0,0.99878,4.93457,0.20265,venceslau-bras
apenas,3.0,2029.0,14.78561,46.0,40049.0,11.48593,1.28728,0.77683,venceslau-bras
aplicação,2.0,2029.0,9.85707,10.0,40049.0,2.49694,3.94766,0.25331,venceslau-bras
apoio,3.0,2029.0,14.78561,56.0,40049.0,13.98287,1.05741,0.94571,venceslau-bras
apreende-se,1.0,2029.0,4.92854,1.0,40049.0,0.24969,19.73829,0.05066,venceslau-bras
apreensões,1.0,2029.0,4.92854,5.0,40049.0,1.24847,3.94766,0.25331,venceslau-bras
apuração,1.0,2029.0,4.92854,2.0,40049.0,0.49939,9.86915,0.10133,venceslau-bras
aqui,4.0,2029.0,19.71414,47.0,40049.0,11.73562,1.67985,0.59529,venceslau-bras
armadas,1.0,2029.0,4.92854,26.0,40049.0,6.49205,0.75917,1.31724,venceslau-bras
aspiração,4.0,2029.0,19.71414,9.0,40049.0,2.24725,8.77258,0.11399,venceslau-bras
assegurado,1.0,2029.0,4.92854,1.0,40049.0,0.24969,19.73829,0.05066,venceslau-bras
