PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
000:000,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
abertura,1.0,1979.0,5.05306,9.0,40099.0,2.24444,2.25136,0.44418,epitacio-pessoa
abusos,2.0,1979.0,10.10611,1.0,40099.0,0.24938,40.52451,0.02468,epitacio-pessoa
acabam,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
acarretando,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
acarretaram,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
acaso,2.0,1979.0,10.10611,2.0,40099.0,0.49877,20.26225,0.04935,epitacio-pessoa
aceitar,1.0,1979.0,5.05306,3.0,40099.0,0.74815,6.75408,0.14806,epitacio-pessoa
acima,1.0,1979.0,5.05306,13.0,40099.0,3.24198,1.55863,0.64159,epitacio-pessoa
aconselhava,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
acontecer,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
acudir,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
adidos,2.0,1979.0,10.10611,1.0,40099.0,0.24938,40.52451,0.02468,epitacio-pessoa
administração,1.0,1979.0,5.05306,31.0,40099.0,7.73087,0.65362,1.52994,epitacio-pessoa
afim,1.0,1979.0,5.05306,3.0,40099.0,0.74815,6.75408,0.14806,epitacio-pessoa
agentes,2.0,1979.0,10.10611,8.0,40099.0,1.99506,5.06556,0.19741,epitacio-pessoa
agora,2.0,1979.0,10.10611,38.0,40099.0,9.47655,1.06643,0.9377,epitacio-pessoa
agravando,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
agravar,2.0,1979.0,10.10611,1.0,40099.0,0.24938,40.52451,0.02468,epitacio-pessoa
agravaram,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
ainda,16.0,1979.0,80.84891,97.0,40099.0,24.19013,3.34223,0.2992,epitacio-pessoa
ajudar,1.0,1979.0,5.05306,7.0,40099.0,1.74568,2.89461,0.34547,epitacio-pessoa
alcance,2.0,1979.0,10.10611,11.0,40099.0,2.74321,3.68405,0.27144,epitacio-pessoa
alfândegas,2.0,1979.0,10.10611,1.0,40099.0,0.24938,40.52451,0.02468,epitacio-pessoa
algarismos,2.0,1979.0,10.10611,1.0,40099.0,0.24938,40.52451,0.02468,epitacio-pessoa
algum,1.0,1979.0,5.05306,6.0,40099.0,1.4963,3.37704,0.29612,epitacio-pessoa
algumas,1.0,1979.0,5.05306,10.0,40099.0,2.49383,2.02623,0.49353,epitacio-pessoa
alguns,5.0,1979.0,25.26529,17.0,40099.0,4.23951,5.95949,0.1678,epitacio-pessoa
alistamento,1.0,1979.0,5.05306,4.0,40099.0,0.99753,5.06556,0.19741,epitacio-pessoa
altas,1.0,1979.0,5.05306,4.0,40099.0,0.99753,5.06556,0.19741,epitacio-pessoa
alterar,1.0,1979.0,5.05306,4.0,40099.0,0.99753,5.06556,0.19741,epitacio-pessoa
alteração,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
alto,1.0,1979.0,5.05306,20.0,40099.0,4.98766,1.01311,0.98706,epitacio-pessoa
além,7.0,1979.0,35.3714,25.0,40099.0,6.23457,5.67343,0.17626,epitacio-pessoa
ambos,1.0,1979.0,5.05306,2.0,40099.0,0.49877,10.13113,0.09871,epitacio-pessoa
amortizações,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
ampliadas,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
ampliação,2.0,1979.0,10.10611,9.0,40099.0,2.24444,4.50272,0.22209,epitacio-pessoa
ano,6.0,1979.0,30.31834,30.0,40099.0,7.48148,4.05245,0.24676,epitacio-pessoa
anos,1.0,1979.0,5.05306,73.0,40099.0,18.20494,0.27757,3.60276,epitacio-pessoa
antecessor,1.0,1979.0,5.05306,3.0,40099.0,0.74815,6.75408,0.14806,epitacio-pessoa
antes,2.0,1979.0,10.10611,41.0,40099.0,10.22469,0.9884,1.01173,epitacio-pessoa
aparelhamento,1.0,1979.0,5.05306,5.0,40099.0,1.24691,4.05245,0.24676,epitacio-pessoa
apelos,1.0,1979.0,5.05306,2.0,40099.0,0.49877,10.13113,0.09871,epitacio-pessoa
apenas,2.0,1979.0,10.10611,47.0,40099.0,11.72099,0.86222,1.15979,epitacio-pessoa
apesar,1.0,1979.0,5.05306,14.0,40099.0,3.49136,1.4473,0.69094,epitacio-pessoa
apoio,1.0,1979.0,5.05306,58.0,40099.0,14.4642,0.34935,2.86247,epitacio-pessoa
apreensões,2.0,1979.0,10.10611,4.0,40099.0,0.99753,10.13113,0.09871,epitacio-pessoa
apresenta,1.0,1979.0,5.05306,2.0,40099.0,0.49877,10.13113,0.09871,epitacio-pessoa
apresentados,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
aproximadamente,1.0,1979.0,5.05306,1.0,40099.0,0.24938,20.26225,0.04935,epitacio-pessoa
