PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
aderir,1.0,265.0,37.73585,1.0,41813.0,0.23916,157.78491,0.00634,artur-bernardes
administração,1.0,265.0,37.73585,31.0,41813.0,7.41396,5.08984,0.19647,artur-bernardes
agradeço,2.0,265.0,75.4717,6.0,41813.0,1.43496,52.59497,0.01901,artur-bernardes
ainda,2.0,265.0,75.4717,111.0,41813.0,26.54677,2.84297,0.35174,artur-bernardes
alto,1.0,265.0,37.73585,20.0,41813.0,4.7832,7.88925,0.12675,artur-bernardes
amigos,1.0,265.0,37.73585,16.0,41813.0,3.82656,9.86156,0.1014,artur-bernardes
amizade,1.0,265.0,37.73585,7.0,41813.0,1.67412,22.5407,0.04436,artur-bernardes
américa,1.0,265.0,37.73585,24.0,41813.0,5.73984,6.57437,0.15211,artur-bernardes
aqui,2.0,265.0,75.4717,49.0,41813.0,11.71884,6.4402,0.15527,artur-bernardes
assegurar,1.0,265.0,37.73585,22.0,41813.0,5.26152,7.17204,0.13943,artur-bernardes
assim,2.0,265.0,75.4717,88.0,41813.0,21.04609,3.58602,0.27886,artur-bernardes
ativamente,1.0,265.0,37.73585,2.0,41813.0,0.47832,78.89245,0.01268,artur-bernardes
através,1.0,265.0,37.73585,27.0,41813.0,6.45732,5.84389,0.17112,artur-bernardes
atual,1.0,265.0,37.73585,17.0,41813.0,4.06572,9.28147,0.10774,artur-bernardes
augustos,2.0,265.0,75.4717,1.0,41813.0,0.23916,315.56981,0.00317,artur-bernardes
aumentar,1.0,265.0,37.73585,9.0,41813.0,2.15244,17.53166,0.05704,artur-bernardes
bastante,1.0,265.0,37.73585,5.0,41813.0,1.1958,31.55698,0.03169,artur-bernardes
bem,1.0,265.0,37.73585,93.0,41813.0,22.24189,1.69661,0.58941,artur-bernardes
brasil,2.0,265.0,75.4717,278.0,41813.0,66.4865,1.13514,0.88095,artur-bernardes
cada,2.0,265.0,75.4717,95.0,41813.0,22.72021,3.32179,0.30104,artur-bernardes
carece,1.0,265.0,37.73585,1.0,41813.0,0.23916,157.78491,0.00634,artur-bernardes
chefe,1.0,265.0,37.73585,14.0,41813.0,3.34824,11.27035,0.08873,artur-bernardes
civilização,2.0,265.0,75.4717,10.0,41813.0,2.3916,31.55698,0.03169,artur-bernardes
colaborar,2.0,265.0,75.4717,5.0,41813.0,1.1958,63.11396,0.01584,artur-bernardes
comigo,1.0,265.0,37.73585,8.0,41813.0,1.91328,19.72311,0.0507,artur-bernardes
compreendemos,1.0,265.0,37.73585,1.0,41813.0,0.23916,157.78491,0.00634,artur-bernardes
comunhão,1.0,265.0,37.73585,7.0,41813.0,1.67412,22.5407,0.04436,artur-bernardes
conceito,1.0,265.0,37.73585,4.0,41813.0,0.95664,39.44623,0.02535,artur-bernardes
