PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abalo,1.0,1947.0,5.13611,4.0,40131.0,0.99674,5.15293,0.19406,getulio-vargas-3
abalos,2.0,1947.0,10.27221,1.0,40131.0,0.24918,41.22342,0.02426,getulio-vargas-3
abril,1.0,1947.0,5.13611,1.0,40131.0,0.24918,20.61171,0.04852,getulio-vargas-3
abrindo,1.0,1947.0,5.13611,3.0,40131.0,0.74755,6.87057,0.14555,getulio-vargas-3
abrir,1.0,1947.0,5.13611,9.0,40131.0,2.24266,2.29019,0.43664,getulio-vargas-3
absoluta,1.0,1947.0,5.13611,11.0,40131.0,2.74102,1.87379,0.53368,getulio-vargas-3
abundância,1.0,1947.0,5.13611,2.0,40131.0,0.49837,10.30586,0.09703,getulio-vargas-3
acabo,1.0,1947.0,5.13611,3.0,40131.0,0.74755,6.87057,0.14555,getulio-vargas-3
acha,1.0,1947.0,5.13611,3.0,40131.0,0.74755,6.87057,0.14555,getulio-vargas-3
acima,3.0,1947.0,15.40832,11.0,40131.0,2.74102,5.62138,0.17789,getulio-vargas-3
acontecimentos,2.0,1947.0,10.27221,6.0,40131.0,1.4951,6.87057,0.14555,getulio-vargas-3
acumulados,1.0,1947.0,5.13611,1.0,40131.0,0.24918,20.61171,0.04852,getulio-vargas-3
adequado,2.0,1947.0,10.27221,2.0,40131.0,0.49837,20.61171,0.04852,getulio-vargas-3
adequados,1.0,1947.0,5.13611,2.0,40131.0,0.49837,10.30586,0.09703,getulio-vargas-3
administração,1.0,1947.0,5.13611,31.0,40131.0,7.7247,0.66489,1.504,getulio-vargas-3
admirável,1.0,1947.0,5.13611,7.0,40131.0,1.74429,2.94453,0.33961,getulio-vargas-3
adotar,1.0,1947.0,5.13611,5.0,40131.0,1.24592,4.12234,0.24258,getulio-vargas-3
adoção,1.0,1947.0,5.13611,5.0,40131.0,1.24592,4.12234,0.24258,getulio-vargas-3
afirma,1.0,1947.0,5.13611,4.0,40131.0,0.99674,5.15293,0.19406,getulio-vargas-3
agitações,1.0,1947.0,5.13611,5.0,40131.0,1.24592,4.12234,0.24258,getulio-vargas-3
agora,1.0,1947.0,5.13611,39.0,40131.0,9.71817,0.52851,1.89213,getulio-vargas-3
agravando,1.0,1947.0,5.13611,1.0,40131.0,0.24918,20.61171,0.04852,getulio-vargas-3
agressivas,1.0,1947.0,5.13611,1.0,40131.0,0.24918,20.61171,0.04852,getulio-vargas-3
agressão,1.0,1947.0,5.13611,3.0,40131.0,0.74755,6.87057,0.14555,getulio-vargas-3
agrícola,1.0,1947.0,5.13611,12.0,40131.0,2.99021,1.71764,0.58219,getulio-vargas-3
ainda,5.0,1947.0,25.68053,108.0,40131.0,26.91186,0.95425,1.04795,getulio-vargas-3
ajustem,1.0,1947.0,5.13611,1.0,40131.0,0.24918,20.61171,0.04852,getulio-vargas-3
algumas,1.0,1947.0,5.13611,10.0,40131.0,2.49184,2.06117,0.48516,getulio-vargas-3
alguns,1.0,1947.0,5.13611,21.0,40131.0,5.23286,0.98151,1.01884,getulio-vargas-3
aliciamento,1.0,1947.0,5.13611,1.0,40131.0,0.24918,20.61171,0.04852,getulio-vargas-3
aliviar,1.0,1947.0,5.13611,1.0,40131.0,0.24918,20.61171,0.04852,getulio-vargas-3
alta,1.0,1947.0,5.13611,21.0,40131.0,5.23286,0.98151,1.01884,getulio-vargas-3
altas,1.0,1947.0,5.13611,4.0,40131.0,0.99674,5.15293,0.19406,getulio-vargas-3
alterar,1.0,1947.0,5.13611,4.0,40131.0,0.99674,5.15293,0.19406,getulio-vargas-3
alternativa,1.0,1947.0,5.13611,2.0,40131.0,0.49837,10.30586,0.09703,getulio-vargas-3
além,1.0,1947.0,5.13611,31.0,40131.0,7.7247,0.66489,1.504,getulio-vargas-3
ambas,1.0,1947.0,5.13611,3.0,40131.0,0.74755,6.87057,0.14555,getulio-vargas-3
ambiente,1.0,1947.0,5.13611,18.0,40131.0,4.48531,1.1451,0.87329,getulio-vargas-3
ambições,2.0,1947.0,10.27221,3.0,40131.0,0.74755,13.74114,0.07277,getulio-vargas-3
ameaça,2.0,1947.0,10.27221,4.0,40131.0,0.99674,10.30586,0.09703,getulio-vargas-3
ameaçam,1.0,1947.0,5.13611,1.0,40131.0,0.24918,20.61171,0.04852,getulio-vargas-3
ameaças,1.0,1947.0,5.13611,3.0,40131.0,0.74755,6.87057,0.14555,getulio-vargas-3
amortizações,1.0,1947.0,5.13611,1.0,40131.0,0.24918,20.61171,0.04852,getulio-vargas-3
amparo,1.0,1947.0,5.13611,3.0,40131.0,0.74755,6.87057,0.14555,getulio-vargas-3
amplas,1.0,1947.0,5.13611,4.0,40131.0,0.99674,5.15293,0.19406,getulio-vargas-3
andamento,1.0,1947.0,5.13611,2.0,40131.0,0.49837,10.30586,0.09703,getulio-vargas-3
ano,1.0,1947.0,5.13611,35.0,40131.0,8.72144,0.58891,1.69806,getulio-vargas-3
anos,2.0,1947.0,10.27221,72.0,40131.0,17.94124,0.57255,1.74658,getulio-vargas-3
antes,2.0,1947.0,10.27221,41.0,40131.0,10.21654,1.00545,0.99458,getulio-vargas-3
análise,2.0,1947.0,10.27221,1.0,40131.0,0.24918,41.22342,0.02426,getulio-vargas-3
