PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abnegação,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
afirmo,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
agradecido,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
agravadas,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
agressão,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
ainda,1.0,428.0,23.36449,112.0,41650.0,26.89076,0.86887,1.15092,eurico-gaspar-dutra
aliados,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
alta,1.0,428.0,23.36449,21.0,41650.0,5.04202,4.63396,0.2158,eurico-gaspar-dutra
alto,1.0,428.0,23.36449,20.0,41650.0,4.80192,4.86565,0.20552,eurico-gaspar-dutra
amparo,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
anos,1.0,428.0,23.36449,73.0,41650.0,17.52701,1.33306,0.75016,eurico-gaspar-dutra
anseios,1.0,428.0,23.36449,6.0,41650.0,1.44058,16.21885,0.06166,eurico-gaspar-dutra
antes,1.0,428.0,23.36449,42.0,41650.0,10.08403,2.31698,0.4316,eurico-gaspar-dutra
apenas,2.0,428.0,46.72897,47.0,41650.0,11.28451,4.14098,0.24149,eurico-gaspar-dutra
aperfeiçoamento,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
apoio,1.0,428.0,23.36449,58.0,41650.0,13.92557,1.67781,0.59601,eurico-gaspar-dutra
armadas,1.0,428.0,23.36449,26.0,41650.0,6.2425,3.74281,0.26718,eurico-gaspar-dutra
aspirações,1.0,428.0,23.36449,12.0,41650.0,2.88115,8.10942,0.12331,eurico-gaspar-dutra
aspiro,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
assegurar,1.0,428.0,23.36449,22.0,41650.0,5.28211,4.42332,0.22607,eurico-gaspar-dutra
assembleia,1.0,428.0,23.36449,9.0,41650.0,2.16086,10.81256,0.09248,eurico-gaspar-dutra
assinalar,1.0,428.0,23.36449,4.0,41650.0,0.96038,24.32827,0.0411,eurico-gaspar-dutra
assistiu,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
atento,1.0,428.0,23.36449,4.0,41650.0,0.96038,24.32827,0.0411,eurico-gaspar-dutra
através,1.0,428.0,23.36449,27.0,41650.0,6.48259,3.60419,0.27745,eurico-gaspar-dutra
bem,1.0,428.0,23.36449,93.0,41650.0,22.32893,1.04638,0.95568,eurico-gaspar-dutra
brasil,2.0,428.0,46.72897,278.0,41650.0,66.7467,0.70009,1.42838,eurico-gaspar-dutra
brasileira,2.0,428.0,46.72897,67.0,41650.0,16.08643,2.90487,0.34425,eurico-gaspar-dutra
brasileiro,2.0,428.0,46.72897,107.0,41650.0,25.69028,1.81894,0.54977,eurico-gaspar-dutra
brasileiros,1.0,428.0,23.36449,126.0,41650.0,30.2521,0.77233,1.29479,eurico-gaspar-dutra
candidatura,1.0,428.0,23.36449,6.0,41650.0,1.44058,16.21885,0.06166,eurico-gaspar-dutra
cargo,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
certeza,1.0,428.0,23.36449,13.0,41650.0,3.12125,7.48562,0.13359,eurico-gaspar-dutra
certo,1.0,428.0,23.36449,30.0,41650.0,7.20288,3.24377,0.30828,eurico-gaspar-dutra
chegaremos,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
cidadão,2.0,428.0,46.72897,19.0,41650.0,4.56182,10.24348,0.09762,eurico-gaspar-dutra
cidadãos,1.0,428.0,23.36449,18.0,41650.0,4.32173,5.40628,0.18497,eurico-gaspar-dutra
civil,1.0,428.0,23.36449,19.0,41650.0,4.56182,5.12174,0.19525,eurico-gaspar-dutra
clamam,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
classes,2.0,428.0,46.72897,33.0,41650.0,7.92317,5.89776,0.16956,eurico-gaspar-dutra
clima,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
colaboração,1.0,428.0,23.36449,21.0,41650.0,5.04202,4.63396,0.2158,eurico-gaspar-dutra
coletivas,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
compatriotas,3.0,428.0,70.09346,8.0,41650.0,1.92077,36.49241,0.0274,eurico-gaspar-dutra
comum,2.0,428.0,46.72897,17.0,41650.0,4.08163,11.4486,0.08735,eurico-gaspar-dutra
comunidade,1.0,428.0,23.36449,19.0,41650.0,4.56182,5.12174,0.19525,eurico-gaspar-dutra
comícios,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
concerto,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
concidadãos,1.0,428.0,23.36449,18.0,41650.0,4.32173,5.40628,0.18497,eurico-gaspar-dutra
concorrer,3.0,428.0,70.09346,3.0,41650.0,0.72029,97.31308,0.01028,eurico-gaspar-dutra
condições,3.0,428.0,70.09346,64.0,41650.0,15.36615,4.56155,0.21922,eurico-gaspar-dutra
conferiram,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
conferiu,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
confiar,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
conjuntura,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
conquista,1.0,428.0,23.36449,9.0,41650.0,2.16086,10.81256,0.09248,eurico-gaspar-dutra
consciência,1.0,428.0,23.36449,34.0,41650.0,8.16327,2.86215,0.34939,eurico-gaspar-dutra
constituintes,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
construtiva,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
contar,1.0,428.0,23.36449,6.0,41650.0,1.44058,16.21885,0.06166,eurico-gaspar-dutra
continuidade,2.0,428.0,46.72897,14.0,41650.0,3.36134,13.90187,0.07193,eurico-gaspar-dutra
cooperação,2.0,428.0,46.72897,24.0,41650.0,5.7623,8.10942,0.12331,eurico-gaspar-dutra
correspondendo,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
corresponder,3.0,428.0,70.09346,9.0,41650.0,2.16086,32.43769,0.03083,eurico-gaspar-dutra
crescente,1.0,428.0,23.36449,5.0,41650.0,1.20048,19.46262,0.05138,eurico-gaspar-dutra
criação,1.0,428.0,23.36449,18.0,41650.0,4.32173,5.40628,0.18497,eurico-gaspar-dutra
cujo,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
cujos,1.0,428.0,23.36449,11.0,41650.0,2.64106,8.84664,0.11304,eurico-gaspar-dutra
culto,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
culturais,1.0,428.0,23.36449,5.0,41650.0,1.20048,19.46262,0.05138,eurico-gaspar-dutra
cívica,1.0,428.0,23.36449,8.0,41650.0,1.92077,12.16414,0.08221,eurico-gaspar-dutra
decidido,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
deliberações,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
democrático,1.0,428.0,23.36449,21.0,41650.0,5.04202,4.63396,0.2158,eurico-gaspar-dutra
depender,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
desde,2.0,428.0,46.72897,45.0,41650.0,10.80432,4.32503,0.23121,eurico-gaspar-dutra
desejo,1.0,428.0,23.36449,19.0,41650.0,4.56182,5.12174,0.19525,eurico-gaspar-dutra
desempenhar,1.0,428.0,23.36449,5.0,41650.0,1.20048,19.46262,0.05138,eurico-gaspar-dutra
deste,1.0,428.0,23.36449,35.0,41650.0,8.40336,2.78037,0.35966,eurico-gaspar-dutra
destinos,1.0,428.0,23.36449,13.0,41650.0,3.12125,7.48562,0.13359,eurico-gaspar-dutra
deus,1.0,428.0,23.36449,37.0,41650.0,8.88355,2.63008,0.38022,eurico-gaspar-dutra
deve,2.0,428.0,46.72897,62.0,41650.0,14.88595,3.13913,0.31856,eurico-gaspar-dutra
devem,1.0,428.0,23.36449,32.0,41650.0,7.68307,3.04103,0.32884,eurico-gaspar-dutra
deveres,1.0,428.0,23.36449,10.0,41650.0,2.40096,9.73131,0.10276,eurico-gaspar-dutra
dezembro,1.0,428.0,23.36449,6.0,41650.0,1.44058,16.21885,0.06166,eurico-gaspar-dutra
dificuldades,1.0,428.0,23.36449,23.0,41650.0,5.52221,4.231,0.23635,eurico-gaspar-dutra
difíceis,1.0,428.0,23.36449,4.0,41650.0,0.96038,24.32827,0.0411,eurico-gaspar-dutra
digna,1.0,428.0,23.36449,4.0,41650.0,0.96038,24.32827,0.0411,eurico-gaspar-dutra
direitos,2.0,428.0,46.72897,73.0,41650.0,17.52701,2.66611,0.37508,eurico-gaspar-dutra
dirigir,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
disciplina,1.0,428.0,23.36449,6.0,41650.0,1.44058,16.21885,0.06166,eurico-gaspar-dutra
disposto,1.0,428.0,23.36449,5.0,41650.0,1.20048,19.46262,0.05138,eurico-gaspar-dutra
durante,1.0,428.0,23.36449,14.0,41650.0,3.36134,6.95093,0.14387,eurico-gaspar-dutra
econômica,1.0,428.0,23.36449,59.0,41650.0,14.16567,1.64937,0.60629,eurico-gaspar-dutra
econômico,1.0,428.0,23.36449,54.0,41650.0,12.96519,1.80209,0.55491,eurico-gaspar-dutra
educação,1.0,428.0,23.36449,50.0,41650.0,12.0048,1.94626,0.51381,eurico-gaspar-dutra
eleito,1.0,428.0,23.36449,11.0,41650.0,2.64106,8.84664,0.11304,eurico-gaspar-dutra
eleições,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
elevação,1.0,428.0,23.36449,14.0,41650.0,3.36134,6.95093,0.14387,eurico-gaspar-dutra
elites,1.0,428.0,23.36449,6.0,41650.0,1.44058,16.21885,0.06166,eurico-gaspar-dutra
embora,1.0,428.0,23.36449,10.0,41650.0,2.40096,9.73131,0.10276,eurico-gaspar-dutra
emoção,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
empenho,1.0,428.0,23.36449,21.0,41650.0,5.04202,4.63396,0.2158,eurico-gaspar-dutra
encontram,1.0,428.0,23.36449,5.0,41650.0,1.20048,19.46262,0.05138,eurico-gaspar-dutra
engrandecimento,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
escolha,1.0,428.0,23.36449,11.0,41650.0,2.64106,8.84664,0.11304,eurico-gaspar-dutra
esforço,2.0,428.0,46.72897,46.0,41650.0,11.04442,4.231,0.23635,eurico-gaspar-dutra
esforços,1.0,428.0,23.36449,28.0,41650.0,6.72269,3.47547,0.28773,eurico-gaspar-dutra
esperam,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
espero,2.0,428.0,46.72897,20.0,41650.0,4.80192,9.73131,0.10276,eurico-gaspar-dutra
espírito,2.0,428.0,46.72897,34.0,41650.0,8.16327,5.7243,0.17469,eurico-gaspar-dutra
estabilidade,1.0,428.0,23.36449,27.0,41650.0,6.48259,3.60419,0.27745,eurico-gaspar-dutra
estados,1.0,428.0,23.36449,67.0,41650.0,16.08643,1.45243,0.6885,eurico-gaspar-dutra
estaduais,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
estatuto,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
estreita,2.0,428.0,46.72897,3.0,41650.0,0.72029,64.87539,0.01541,eurico-gaspar-dutra
exercício,1.0,428.0,23.36449,25.0,41650.0,6.0024,3.89252,0.2569,eurico-gaspar-dutra
exigências,2.0,428.0,46.72897,10.0,41650.0,2.40096,19.46262,0.05138,eurico-gaspar-dutra
existência,2.0,428.0,46.72897,21.0,41650.0,5.04202,9.26791,0.1079,eurico-gaspar-dutra
expectativa,1.0,428.0,23.36449,8.0,41650.0,1.92077,12.16414,0.08221,eurico-gaspar-dutra
externa,1.0,428.0,23.36449,39.0,41650.0,9.36375,2.49521,0.40077,eurico-gaspar-dutra
família,1.0,428.0,23.36449,17.0,41650.0,4.08163,5.7243,0.17469,eurico-gaspar-dutra
fazer,2.0,428.0,46.72897,68.0,41650.0,16.32653,2.86215,0.34939,eurico-gaspar-dutra
fecundo,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
fim,1.0,428.0,23.36449,35.0,41650.0,8.40336,2.78037,0.35966,eurico-gaspar-dutra
fortalecer,1.0,428.0,23.36449,15.0,41650.0,3.60144,6.48754,0.15414,eurico-gaspar-dutra
fortalecido,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
forças,3.0,428.0,70.09346,75.0,41650.0,18.0072,3.89252,0.2569,eurico-gaspar-dutra
fundamental,1.0,428.0,23.36449,26.0,41650.0,6.2425,3.74281,0.26718,eurico-gaspar-dutra
garantias,2.0,428.0,46.72897,11.0,41650.0,2.64106,17.69329,0.05652,eurico-gaspar-dutra
governantes,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
governo,6.0,428.0,140.18692,269.0,41650.0,64.58583,2.17055,0.46071,eurico-gaspar-dutra
grande,1.0,428.0,23.36449,100.0,41650.0,24.0096,0.97313,1.02761,eurico-gaspar-dutra
grandes,1.0,428.0,23.36449,57.0,41650.0,13.68547,1.70725,0.58574,eurico-gaspar-dutra
grandeza,1.0,428.0,23.36449,19.0,41650.0,4.56182,5.12174,0.19525,eurico-gaspar-dutra
grandiosa,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
grave,1.0,428.0,23.36449,14.0,41650.0,3.36134,6.95093,0.14387,eurico-gaspar-dutra
graves,1.0,428.0,23.36449,10.0,41650.0,2.40096,9.73131,0.10276,eurico-gaspar-dutra
guerra,1.0,428.0,23.36449,13.0,41650.0,3.12125,7.48562,0.13359,eurico-gaspar-dutra
histórica,1.0,428.0,23.36449,10.0,41650.0,2.40096,9.73131,0.10276,eurico-gaspar-dutra
hoje,1.0,428.0,23.36449,100.0,41650.0,24.0096,0.97313,1.02761,eurico-gaspar-dutra
honesto,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
honra,2.0,428.0,46.72897,26.0,41650.0,6.2425,7.48562,0.13359,eurico-gaspar-dutra
humana,1.0,428.0,23.36449,8.0,41650.0,1.92077,12.16414,0.08221,eurico-gaspar-dutra
imparcial,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
impõe,1.0,428.0,23.36449,9.0,41650.0,2.16086,10.81256,0.09248,eurico-gaspar-dutra
incumbe,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
indispensáveis,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
indispensável,2.0,428.0,46.72897,20.0,41650.0,4.80192,9.73131,0.10276,eurico-gaspar-dutra
inicia,1.0,428.0,23.36449,6.0,41650.0,1.44058,16.21885,0.06166,eurico-gaspar-dutra
inovar,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
interesse,1.0,428.0,23.36449,33.0,41650.0,7.92317,2.94888,0.33911,eurico-gaspar-dutra
interna,1.0,428.0,23.36449,16.0,41650.0,3.84154,6.08207,0.16442,eurico-gaspar-dutra
internacional,1.0,428.0,23.36449,54.0,41650.0,12.96519,1.80209,0.55491,eurico-gaspar-dutra
investidura,1.0,428.0,23.36449,5.0,41650.0,1.20048,19.46262,0.05138,eurico-gaspar-dutra
josé,2.0,428.0,46.72897,10.0,41650.0,2.40096,19.46262,0.05138,eurico-gaspar-dutra
justamente,1.0,428.0,23.36449,5.0,41650.0,1.20048,19.46262,0.05138,eurico-gaspar-dutra
justiça,1.0,428.0,23.36449,82.0,41650.0,19.68788,1.18674,0.84264,eurico-gaspar-dutra
legal,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
legisladores,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
liberdade,1.0,428.0,23.36449,74.0,41650.0,17.76711,1.31504,0.76043,eurico-gaspar-dutra
liberdades,1.0,428.0,23.36449,14.0,41650.0,3.36134,6.95093,0.14387,eurico-gaspar-dutra
linhas,1.0,428.0,23.36449,13.0,41650.0,3.12125,7.48562,0.13359,eurico-gaspar-dutra
lisura,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
livre,1.0,428.0,23.36449,25.0,41650.0,6.0024,3.89252,0.2569,eurico-gaspar-dutra
maioria,1.0,428.0,23.36449,23.0,41650.0,5.52221,4.231,0.23635,eurico-gaspar-dutra
mandato,1.0,428.0,23.36449,34.0,41650.0,8.16327,2.86215,0.34939,eurico-gaspar-dutra
manter,1.0,428.0,23.36449,20.0,41650.0,4.80192,4.86565,0.20552,eurico-gaspar-dutra
material,1.0,428.0,23.36449,12.0,41650.0,2.88115,8.10942,0.12331,eurico-gaspar-dutra
meio,1.0,428.0,23.36449,45.0,41650.0,10.80432,2.16251,0.46242,eurico-gaspar-dutra
melhoria,2.0,428.0,46.72897,9.0,41650.0,2.16086,21.62513,0.04624,eurico-gaspar-dutra
menor,1.0,428.0,23.36449,10.0,41650.0,2.40096,9.73131,0.10276,eurico-gaspar-dutra
mensagem,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
merecer,1.0,428.0,23.36449,5.0,41650.0,1.20048,19.46262,0.05138,eurico-gaspar-dutra
militares,1.0,428.0,23.36449,14.0,41650.0,3.36134,6.95093,0.14387,eurico-gaspar-dutra
mim,1.0,428.0,23.36449,35.0,41650.0,8.40336,2.78037,0.35966,eurico-gaspar-dutra
ministro,3.0,428.0,70.09346,20.0,41650.0,4.80192,14.59696,0.06851,eurico-gaspar-dutra
mister,1.0,428.0,23.36449,5.0,41650.0,1.20048,19.46262,0.05138,eurico-gaspar-dutra
modesta,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
moral,1.0,428.0,23.36449,33.0,41650.0,7.92317,2.94888,0.33911,eurico-gaspar-dutra
movidos,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
mundo,1.0,428.0,23.36449,92.0,41650.0,22.08884,1.05775,0.9454,eurico-gaspar-dutra
máximo,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
mãos,1.0,428.0,23.36449,17.0,41650.0,4.08163,5.7243,0.17469,eurico-gaspar-dutra
nacional,4.0,428.0,93.45794,216.0,41650.0,51.86074,1.80209,0.55491,eurico-gaspar-dutra
nada,1.0,428.0,23.36449,19.0,41650.0,4.56182,5.12174,0.19525,eurico-gaspar-dutra
nação,1.0,428.0,23.36449,148.0,41650.0,35.53421,0.65752,1.52086,eurico-gaspar-dutra
nações,2.0,428.0,46.72897,49.0,41650.0,11.76471,3.97196,0.25176,eurico-gaspar-dutra
necessidades,2.0,428.0,46.72897,21.0,41650.0,5.04202,9.26791,0.1079,eurico-gaspar-dutra
necessárias,1.0,428.0,23.36449,14.0,41650.0,3.36134,6.95093,0.14387,eurico-gaspar-dutra
nobres,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
novos,1.0,428.0,23.36449,37.0,41650.0,8.88355,2.63008,0.38022,eurico-gaspar-dutra
nunca,1.0,428.0,23.36449,40.0,41650.0,9.60384,2.43283,0.41104,eurico-gaspar-dutra
nível,1.0,428.0,23.36449,13.0,41650.0,3.12125,7.48562,0.13359,eurico-gaspar-dutra
obra,2.0,428.0,46.72897,29.0,41650.0,6.96279,6.71125,0.149,eurico-gaspar-dutra
ombros,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
opinião,2.0,428.0,46.72897,34.0,41650.0,8.16327,5.7243,0.17469,eurico-gaspar-dutra
ordem,1.0,428.0,23.36449,76.0,41650.0,18.2473,1.28044,0.78098,eurico-gaspar-dutra
orientação,1.0,428.0,23.36449,8.0,41650.0,1.92077,12.16414,0.08221,eurico-gaspar-dutra
outubro,1.0,428.0,23.36449,12.0,41650.0,2.88115,8.10942,0.12331,eurico-gaspar-dutra
padrão,1.0,428.0,23.36449,5.0,41650.0,1.20048,19.46262,0.05138,eurico-gaspar-dutra
partidos,1.0,428.0,23.36449,28.0,41650.0,6.72269,3.47547,0.28773,eurico-gaspar-dutra
patriotismo,1.0,428.0,23.36449,29.0,41650.0,6.96279,3.35562,0.29801,eurico-gaspar-dutra
paz,2.0,428.0,46.72897,58.0,41650.0,13.92557,3.35562,0.29801,eurico-gaspar-dutra
país,3.0,428.0,70.09346,283.0,41650.0,67.94718,1.03159,0.96938,eurico-gaspar-dutra
países,1.0,428.0,23.36449,59.0,41650.0,14.16567,1.64937,0.60629,eurico-gaspar-dutra
perder,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
perfeita,1.0,428.0,23.36449,9.0,41650.0,2.16086,10.81256,0.09248,eurico-gaspar-dutra
período,2.0,428.0,46.72897,23.0,41650.0,5.52221,8.46201,0.11818,eurico-gaspar-dutra
pessoa,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
plano,1.0,428.0,23.36449,26.0,41650.0,6.2425,3.74281,0.26718,eurico-gaspar-dutra
plena,1.0,428.0,23.36449,14.0,41650.0,3.36134,6.95093,0.14387,eurico-gaspar-dutra
pode,1.0,428.0,23.36449,70.0,41650.0,16.80672,1.39019,0.71933,eurico-gaspar-dutra
podem,1.0,428.0,23.36449,25.0,41650.0,6.0024,3.89252,0.2569,eurico-gaspar-dutra
poder,2.0,428.0,46.72897,109.0,41650.0,26.17047,1.78556,0.56005,eurico-gaspar-dutra
política,1.0,428.0,23.36449,170.0,41650.0,40.81633,0.57243,1.74694,eurico-gaspar-dutra
políticas,1.0,428.0,23.36449,50.0,41650.0,12.0048,1.94626,0.51381,eurico-gaspar-dutra
populares,1.0,428.0,23.36449,4.0,41650.0,0.96038,24.32827,0.0411,eurico-gaspar-dutra
posição,1.0,428.0,23.36449,14.0,41650.0,3.36134,6.95093,0.14387,eurico-gaspar-dutra
possa,1.0,428.0,23.36449,22.0,41650.0,5.28211,4.42332,0.22607,eurico-gaspar-dutra
povo,3.0,428.0,70.09346,212.0,41650.0,50.90036,1.37707,0.72618,eurico-gaspar-dutra
preocupado,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
presidente,2.0,428.0,46.72897,98.0,41650.0,23.52941,1.98598,0.50353,eurico-gaspar-dutra
prestígio,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
processo,1.0,428.0,23.36449,43.0,41650.0,10.32413,2.26309,0.44187,eurico-gaspar-dutra
proclamado,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
produtoras,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
profundo,1.0,428.0,23.36449,8.0,41650.0,1.92077,12.16414,0.08221,eurico-gaspar-dutra
pronunciamento,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
proporcionar,1.0,428.0,23.36449,3.0,41650.0,0.72029,32.43769,0.03083,eurico-gaspar-dutra
propósito,1.0,428.0,23.36449,19.0,41650.0,4.56182,5.12174,0.19525,eurico-gaspar-dutra
propósitos,1.0,428.0,23.36449,4.0,41650.0,0.96038,24.32827,0.0411,eurico-gaspar-dutra
prosseguirá,1.0,428.0,23.36449,1.0,41650.0,0.2401,97.31308,0.01028,eurico-gaspar-dutra
proveitosa,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
próximas,1.0,428.0,23.36449,2.0,41650.0,0.48019,48.65654,0.02055,eurico-gaspar-dutra
públicas,1.0,428.0,23.36449,20.0,41650.0,4.80192,4.86565,0.20552,eurico-gaspar-dutra
pátria,2.0,428.0,46.72897,53.0,41650.0,12.72509,3.67219,0.27232,eurico-gaspar-dutra
qualquer,1.0,428.0,23.36449,35.0,41650.0,8.40336,2.78037,0.35966,eurico-gaspar-dutra
quanto,2.0,428.0,46.72897,57.0,41650.0,13.68547,3.41449,0.29287,eurico-gaspar-dutra
reais,1.0,428.0,23.36449,9.0,41650.0,2.16086,10.81256,0.09248,eurico-gaspar-dutra
receber,1.0,428.0,23.36449,11.0,41650.0,2.64106,8.84664,0.11304,eurico-gaspar-dutra
recebo,3.0,428.0,70.09346,2.0,41650.0,0.48019,145.96963,0.00685,eurico-gaspar-dutra
reclamam,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
reconhecimento,4.0,428.0,93.45794,10.0,41650.0,2.40096,38.92523,0.02569,eurico-gaspar-dutra
reconstrução,1.0,428.0,23.36449,7.0,41650.0,1.68067,13.90187,0.07193,eurico-gaspar-dutra
