PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
acaba,1.0,327.0,30.58104,2.0,41751.0,0.47903,63.83945,0.01566,juscelino-kubtischek
acatamento,1.0,327.0,30.58104,3.0,41751.0,0.71855,42.55963,0.0235,juscelino-kubtischek
agora,2.0,327.0,61.16208,38.0,41751.0,9.10158,6.71994,0.14881,juscelino-kubtischek
agradecer,1.0,327.0,30.58104,1.0,41751.0,0.23952,127.6789,0.00783,juscelino-kubtischek
agradeço,1.0,327.0,30.58104,7.0,41751.0,1.67661,18.23984,0.05483,juscelino-kubtischek
aliás,1.0,327.0,30.58104,6.0,41751.0,1.43709,21.27982,0.04699,juscelino-kubtischek
alta,1.0,327.0,30.58104,21.0,41751.0,5.02982,6.07995,0.16448,juscelino-kubtischek
altivez,1.0,327.0,30.58104,1.0,41751.0,0.23952,127.6789,0.00783,juscelino-kubtischek
alto,1.0,327.0,30.58104,20.0,41751.0,4.7903,6.38394,0.15664,juscelino-kubtischek
amadurecido,1.0,327.0,30.58104,1.0,41751.0,0.23952,127.6789,0.00783,juscelino-kubtischek
animados,1.0,327.0,30.58104,2.0,41751.0,0.47903,63.83945,0.01566,juscelino-kubtischek
apenas,1.0,327.0,30.58104,48.0,41751.0,11.49673,2.65998,0.37594,juscelino-kubtischek
aqui,1.0,327.0,30.58104,50.0,41751.0,11.97576,2.55358,0.39161,juscelino-kubtischek
arbítrio,1.0,327.0,30.58104,6.0,41751.0,1.43709,21.27982,0.04699,juscelino-kubtischek
ardente,1.0,327.0,30.58104,1.0,41751.0,0.23952,127.6789,0.00783,juscelino-kubtischek
aspiramos,1.0,327.0,30.58104,1.0,41751.0,0.23952,127.6789,0.00783,juscelino-kubtischek
atentos,1.0,327.0,30.58104,3.0,41751.0,0.71855,42.55963,0.0235,juscelino-kubtischek
ato,3.0,327.0,91.74312,17.0,41751.0,4.07176,22.53157,0.04438,juscelino-kubtischek
austeridade,1.0,327.0,30.58104,8.0,41751.0,1.91612,15.95986,0.06266,juscelino-kubtischek
autoridade,2.0,327.0,61.16208,16.0,41751.0,3.83224,15.95986,0.06266,juscelino-kubtischek
boa,1.0,327.0,30.58104,15.0,41751.0,3.59273,8.51193,0.11748,juscelino-kubtischek
brasil,1.0,327.0,30.58104,279.0,41751.0,66.82475,0.45763,2.18517,juscelino-kubtischek
brasileira,5.0,327.0,152.9052,64.0,41751.0,15.32897,9.97491,0.10025,juscelino-kubtischek
brasileiros,1.0,327.0,30.58104,126.0,41751.0,30.17892,1.01332,0.98685,juscelino-kubtischek
cabe,1.0,327.0,30.58104,9.0,41751.0,2.15564,14.18654,0.07049,juscelino-kubtischek
caminhada,1.0,327.0,30.58104,6.0,41751.0,1.43709,21.27982,0.04699,juscelino-kubtischek
campanha,1.0,327.0,30.58104,24.0,41751.0,5.74837,5.31995,0.18797,juscelino-kubtischek
caracterizam,1.0,327.0,30.58104,1.0,41751.0,0.23952,127.6789,0.00783,juscelino-kubtischek
causa,1.0,327.0,30.58104,22.0,41751.0,5.26933,5.80359,0.17231,juscelino-kubtischek
chefe,1.0,327.0,30.58104,14.0,41751.0,3.35321,9.11992,0.10965,juscelino-kubtischek
civilização,1.0,327.0,30.58104,11.0,41751.0,2.63467,11.60717,0.08615,juscelino-kubtischek
companheiro,1.0,327.0,30.58104,7.0,41751.0,1.67661,18.23984,0.05483,juscelino-kubtischek
