PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abolição,1.0,342.0,29.23977,3.0,41736.0,0.7188,40.67836,0.02458,janio-quadros
administração,1.0,342.0,29.23977,31.0,41736.0,7.42764,3.93662,0.25403,janio-quadros
adversos,1.0,342.0,29.23977,2.0,41736.0,0.4792,61.01754,0.01639,janio-quadros
afiguram,1.0,342.0,29.23977,1.0,41736.0,0.2396,122.03509,0.00819,janio-quadros
afirma,1.0,342.0,29.23977,4.0,41736.0,0.95841,30.50877,0.03278,janio-quadros
afirmação,1.0,342.0,29.23977,10.0,41736.0,2.39601,12.20351,0.08194,janio-quadros
algumas,1.0,342.0,29.23977,10.0,41736.0,2.39601,12.20351,0.08194,janio-quadros
alguns,1.0,342.0,29.23977,21.0,41736.0,5.03163,5.81119,0.17208,janio-quadros
alicerces,1.0,342.0,29.23977,3.0,41736.0,0.7188,40.67836,0.02458,janio-quadros
altos,1.0,342.0,29.23977,13.0,41736.0,3.11482,9.38731,0.10653,janio-quadros
anos,1.0,342.0,29.23977,73.0,41736.0,17.4909,1.67171,0.59819,janio-quadros
apenas,2.0,342.0,58.47953,47.0,41736.0,11.26126,5.19298,0.19257,janio-quadros
aperfeiçoamento,1.0,342.0,29.23977,7.0,41736.0,1.67721,17.43358,0.05736,janio-quadros
aprimoramento,1.0,342.0,29.23977,2.0,41736.0,0.4792,61.01754,0.01639,janio-quadros
aspecto,1.0,342.0,29.23977,3.0,41736.0,0.7188,40.67836,0.02458,janio-quadros
associação,1.0,342.0,29.23977,1.0,41736.0,0.2396,122.03509,0.00819,janio-quadros
atingir,1.0,342.0,29.23977,6.0,41736.0,1.43761,20.33918,0.04917,janio-quadros
através,1.0,342.0,29.23977,27.0,41736.0,6.46924,4.51982,0.22125,janio-quadros
autonomia,1.0,342.0,29.23977,12.0,41736.0,2.87522,10.16959,0.09833,janio-quadros
avançado,1.0,342.0,29.23977,1.0,41736.0,0.2396,122.03509,0.00819,janio-quadros
brasil,2.0,342.0,58.47953,278.0,41736.0,66.60916,0.87795,1.13902,janio-quadros
brasileira,1.0,342.0,29.23977,68.0,41736.0,16.29289,1.79463,0.55722,janio-quadros
brasileiro,1.0,342.0,29.23977,108.0,41736.0,25.87694,1.12995,0.88499,janio-quadros
caminhos,2.0,342.0,58.47953,12.0,41736.0,2.87522,20.33918,0.04917,janio-quadros
campanha,1.0,342.0,29.23977,24.0,41736.0,5.75043,5.0848,0.19666,janio-quadros
candidatos,1.0,342.0,29.23977,3.0,41736.0,0.7188,40.67836,0.02458,janio-quadros
capital,1.0,342.0,29.23977,31.0,41736.0,7.42764,3.93662,0.25403,janio-quadros
causa,1.0,342.0,29.23977,22.0,41736.0,5.27123,5.54705,0.18028,janio-quadros
cem,1.0,342.0,29.23977,2.0,41736.0,0.4792,61.01754,0.01639,janio-quadros
chefe,1.0,342.0,29.23977,14.0,41736.0,3.35442,8.71679,0.11472,janio-quadros
chega,1.0,342.0,29.23977,3.0,41736.0,0.7188,40.67836,0.02458,janio-quadros
cidadãos,1.0,342.0,29.23977,18.0,41736.0,4.31282,6.77973,0.1475,janio-quadros
conceito,1.0,342.0,29.23977,4.0,41736.0,0.95841,30.50877,0.03278,janio-quadros
condenação,1.0,342.0,29.23977,1.0,41736.0,0.2396,122.03509,0.00819,janio-quadros
condição,1.0,342.0,29.23977,14.0,41736.0,3.35442,8.71679,0.11472,janio-quadros
conquista,2.0,342.0,58.47953,8.0,41736.0,1.91681,30.50877,0.03278,janio-quadros
conquistas,1.0,342.0,29.23977,11.0,41736.0,2.63561,11.0941,0.09014,janio-quadros
conseguiu,1.0,342.0,29.23977,1.0,41736.0,0.2396,122.03509,0.00819,janio-quadros
constitucionais,1.0,342.0,29.23977,13.0,41736.0,3.11482,9.38731,0.10653,janio-quadros
constitui,2.0,342.0,58.47953,7.0,41736.0,1.67721,34.86717,0.02868,janio-quadros
contra,2.0,342.0,58.47953,59.0,41736.0,14.13648,4.13678,0.24173,janio-quadros
contrário,1.0,342.0,29.23977,10.0,41736.0,2.39601,12.20351,0.08194,janio-quadros
convicção,1.0,342.0,29.23977,19.0,41736.0,4.55242,6.4229,0.15569,janio-quadros
criação,1.0,342.0,29.23977,18.0,41736.0,4.31282,6.77973,0.1475,janio-quadros
culto,1.0,342.0,29.23977,3.0,41736.0,0.7188,40.67836,0.02458,janio-quadros
cumprimento,1.0,342.0,29.23977,17.0,41736.0,4.07322,7.17853,0.1393,janio-quadros
