PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abril,1.0,524.0,19.08397,1.0,41554.0,0.24065,79.30153,0.01261,castelo-branco
acompanham,1.0,524.0,19.08397,2.0,41554.0,0.4813,39.65076,0.02522,castelo-branco
acreditam,1.0,524.0,19.08397,1.0,41554.0,0.24065,79.30153,0.01261,castelo-branco
adesão,1.0,524.0,19.08397,2.0,41554.0,0.4813,39.65076,0.02522,castelo-branco
admirável,1.0,524.0,19.08397,7.0,41554.0,1.68456,11.32879,0.08827,castelo-branco
afinal,1.0,524.0,19.08397,3.0,41554.0,0.72195,26.43384,0.03783,castelo-branco
afirmou,1.0,524.0,19.08397,1.0,41554.0,0.24065,79.30153,0.01261,castelo-branco
agitações,1.0,524.0,19.08397,5.0,41554.0,1.20325,15.86031,0.06305,castelo-branco
agora,1.0,524.0,19.08397,39.0,41554.0,9.38538,2.03337,0.49179,castelo-branco
ainda,1.0,524.0,19.08397,112.0,41554.0,26.95288,0.70805,1.41233,castelo-branco
ajuda,1.0,524.0,19.08397,5.0,41554.0,1.20325,15.86031,0.06305,castelo-branco
aliados,1.0,524.0,19.08397,3.0,41554.0,0.72195,26.43384,0.03783,castelo-branco
alianças,1.0,524.0,19.08397,1.0,41554.0,0.24065,79.30153,0.01261,castelo-branco
alma,1.0,524.0,19.08397,13.0,41554.0,3.12846,6.10012,0.16393,castelo-branco
amigas,1.0,524.0,19.08397,6.0,41554.0,1.4439,13.21692,0.07566,castelo-branco
américas,1.0,524.0,19.08397,1.0,41554.0,0.24065,79.30153,0.01261,castelo-branco
animam,1.0,524.0,19.08397,1.0,41554.0,0.24065,79.30153,0.01261,castelo-branco
apenas,1.0,524.0,19.08397,48.0,41554.0,11.55123,1.65212,0.60528,castelo-branco
aperfeiçoamento,1.0,524.0,19.08397,7.0,41554.0,1.68456,11.32879,0.08827,castelo-branco
apoiada,1.0,524.0,19.08397,1.0,41554.0,0.24065,79.30153,0.01261,castelo-branco
apoio,2.0,524.0,38.16794,57.0,41554.0,13.71709,2.78251,0.35939,castelo-branco
armadas,1.0,524.0,19.08397,26.0,41554.0,6.25692,3.05006,0.32786,castelo-branco
arrancada,1.0,524.0,19.08397,2.0,41554.0,0.4813,39.65076,0.02522,castelo-branco
aspirações,1.0,524.0,19.08397,12.0,41554.0,2.88781,6.60846,0.15132,castelo-branco
assegurar,2.0,524.0,38.16794,21.0,41554.0,5.05367,7.55253,0.13241,castelo-branco
assim,2.0,524.0,38.16794,88.0,41554.0,21.17726,1.80231,0.55484,castelo-branco
atitude,1.0,524.0,19.08397,9.0,41554.0,2.16586,8.81128,0.11349,castelo-branco
através,2.0,524.0,38.16794,26.0,41554.0,6.25692,6.10012,0.16393,castelo-branco
augustos,1.0,524.0,19.08397,2.0,41554.0,0.4813,39.65076,0.02522,castelo-branco
autodeterminação,1.0,524.0,19.08397,4.0,41554.0,0.9626,19.82538,0.05044,castelo-branco
auxílio,1.0,524.0,19.08397,3.0,41554.0,0.72195,26.43384,0.03783,castelo-branco
bem-estar,3.0,524.0,57.25191,9.0,41554.0,2.16586,26.43384,0.03783,castelo-branco
benefícios,1.0,524.0,19.08397,12.0,41554.0,2.88781,6.60846,0.15132,castelo-branco
brasil,5.0,524.0,95.41985,275.0,41554.0,66.17895,1.44185,0.69356,castelo-branco
brasileira,2.0,524.0,38.16794,67.0,41554.0,16.1236,2.36721,0.42244,castelo-branco
brasileiras,1.0,524.0,19.08397,34.0,41554.0,8.18212,2.3324,0.42874,castelo-branco
brasileiro,1.0,524.0,19.08397,108.0,41554.0,25.99028,0.73427,1.36189,castelo-branco
brasileiros,7.0,524.0,133.58779,120.0,41554.0,28.87809,4.62592,0.21617,castelo-branco
buscar,1.0,524.0,19.08397,7.0,41554.0,1.68456,11.32879,0.08827,castelo-branco
básico,1.0,524.0,19.08397,8.0,41554.0,1.92521,9.91269,0.10088,castelo-branco
cada,4.0,524.0,76.33588,93.0,41554.0,22.38052,3.41082,0.29318,castelo-branco
caminhada,1.0,524.0,19.08397,6.0,41554.0,1.4439,13.21692,0.07566,castelo-branco
capaz,1.0,524.0,19.08397,25.0,41554.0,6.01627,3.17206,0.31525,castelo-branco
cargo,1.0,524.0,19.08397,7.0,41554.0,1.68456,11.32879,0.08827,castelo-branco
centro,1.0,524.0,19.08397,10.0,41554.0,2.40651,7.93015,0.1261,castelo-branco
certo,2.0,524.0,38.16794,29.0,41554.0,6.97887,5.46907,0.18285,castelo-branco
chefe,2.0,524.0,38.16794,13.0,41554.0,3.12846,12.20023,0.08197,castelo-branco
cidadão,1.0,524.0,19.08397,20.0,41554.0,4.81301,3.96508,0.2522,castelo-branco
cidadãos,1.0,524.0,19.08397,18.0,41554.0,4.33171,4.40564,0.22698,castelo-branco
civilização,1.0,524.0,19.08397,11.0,41554.0,2.64716,7.20923,0.13871,castelo-branco
civis,1.0,524.0,19.08397,7.0,41554.0,1.68456,11.32879,0.08827,castelo-branco
classes,1.0,524.0,19.08397,34.0,41554.0,8.18212,2.3324,0.42874,castelo-branco
colaboração,1.0,524.0,19.08397,21.0,41554.0,5.05367,3.77626,0.26481,castelo-branco
compatibilidade,1.0,524.0,19.08397,1.0,41554.0,0.24065,79.30153,0.01261,castelo-branco
compatriotas,1.0,524.0,19.08397,10.0,41554.0,2.40651,7.93015,0.1261,castelo-branco
compreensão,1.0,524.0,19.08397,7.0,41554.0,1.68456,11.32879,0.08827,castelo-branco
concepções,2.0,524.0,38.16794,1.0,41554.0,0.24065,158.60305,0.00631,castelo-branco
concidadãos,2.0,524.0,38.16794,17.0,41554.0,4.09106,9.32959,0.10719,castelo-branco
concórdia,2.0,524.0,38.16794,3.0,41554.0,0.72195,52.86768,0.01892,castelo-branco
condições,1.0,524.0,19.08397,66.0,41554.0,15.88295,1.20154,0.83227,castelo-branco
confiança,2.0,524.0,38.16794,61.0,41554.0,14.67969,2.60005,0.38461,castelo-branco
congresso,1.0,524.0,19.08397,75.0,41554.0,18.0488,1.05735,0.94576,castelo-branco
conquistas,1.0,524.0,19.08397,11.0,41554.0,2.64716,7.20923,0.13871,castelo-branco
