PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
acertar,1.0,664.0,15.06024,1.0,41414.0,0.24146,62.37048,0.01603,costa-e-silva
adquirir,1.0,664.0,15.06024,1.0,41414.0,0.24146,62.37048,0.01603,costa-e-silva
alcance,1.0,664.0,15.06024,12.0,41414.0,2.89757,5.19754,0.1924,costa-e-silva
alimentar,1.0,664.0,15.06024,5.0,41414.0,1.20732,12.4741,0.08017,costa-e-silva
altamente,1.0,664.0,15.06024,1.0,41414.0,0.24146,62.37048,0.01603,costa-e-silva
alto,1.0,664.0,15.06024,20.0,41414.0,4.82928,3.11852,0.32066,costa-e-silva
além,1.0,664.0,15.06024,31.0,41414.0,7.48539,2.01195,0.49703,costa-e-silva
ambições,1.0,664.0,15.06024,4.0,41414.0,0.96586,15.59262,0.06413,costa-e-silva
ampare,1.0,664.0,15.06024,1.0,41414.0,0.24146,62.37048,0.01603,costa-e-silva
animados,1.0,664.0,15.06024,2.0,41414.0,0.48293,31.18524,0.03207,costa-e-silva
anos,1.0,664.0,15.06024,73.0,41414.0,17.62689,0.85439,1.17043,costa-e-silva
apenas,3.0,664.0,45.18072,46.0,41414.0,11.10736,4.06764,0.24584,costa-e-silva
aplicar,1.0,664.0,15.06024,2.0,41414.0,0.48293,31.18524,0.03207,costa-e-silva
apoio,2.0,664.0,30.12048,57.0,41414.0,13.76346,2.18844,0.45695,costa-e-silva
apreensões,1.0,664.0,15.06024,5.0,41414.0,1.20732,12.4741,0.08017,costa-e-silva
apropriados,1.0,664.0,15.06024,1.0,41414.0,0.24146,62.37048,0.01603,costa-e-silva
armada,1.0,664.0,15.06024,5.0,41414.0,1.20732,12.4741,0.08017,costa-e-silva
armadas,2.0,664.0,30.12048,25.0,41414.0,6.03661,4.98964,0.20042,costa-e-silva
aspirar,1.0,664.0,15.06024,2.0,41414.0,0.48293,31.18524,0.03207,costa-e-silva
