PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abastecimento,1.0,1004.0,9.96016,1.0,41074.0,0.24346,40.91036,0.02444,emilio-garrastazu-medici
aberta,1.0,1004.0,9.96016,3.0,41074.0,0.73039,13.63679,0.07333,emilio-garrastazu-medici
aceita,1.0,1004.0,9.96016,2.0,41074.0,0.48693,20.45518,0.04889,emilio-garrastazu-medici
aceitando,1.0,1004.0,9.96016,2.0,41074.0,0.48693,20.45518,0.04889,emilio-garrastazu-medici
aceitação,3.0,1004.0,29.88048,1.0,41074.0,0.24346,122.73108,0.00815,emilio-garrastazu-medici
acelerar,1.0,1004.0,9.96016,2.0,41074.0,0.48693,20.45518,0.04889,emilio-garrastazu-medici
aceleração,1.0,1004.0,9.96016,5.0,41074.0,1.21732,8.18207,0.12222,emilio-garrastazu-medici
aceno,1.0,1004.0,9.96016,1.0,41074.0,0.24346,40.91036,0.02444,emilio-garrastazu-medici
acertos,1.0,1004.0,9.96016,1.0,41074.0,0.24346,40.91036,0.02444,emilio-garrastazu-medici
acreditam,1.0,1004.0,9.96016,1.0,41074.0,0.24346,40.91036,0.02444,emilio-garrastazu-medici
adequada,1.0,1004.0,9.96016,3.0,41074.0,0.73039,13.63679,0.07333,emilio-garrastazu-medici
afirmação,1.0,1004.0,9.96016,10.0,41074.0,2.43463,4.09104,0.24444,emilio-garrastazu-medici
agentes,1.0,1004.0,9.96016,9.0,41074.0,2.19117,4.5456,0.21999,emilio-garrastazu-medici
agora,2.0,1004.0,19.92032,38.0,41074.0,9.25159,2.15318,0.46443,emilio-garrastazu-medici
agricultura,2.0,1004.0,19.92032,19.0,41074.0,4.6258,4.30635,0.23222,emilio-garrastazu-medici
agrícola,1.0,1004.0,9.96016,12.0,41074.0,2.92156,3.4092,0.29332,emilio-garrastazu-medici
ainda,1.0,1004.0,9.96016,112.0,41074.0,27.26786,0.36527,2.73769,emilio-garrastazu-medici
ajuda,2.0,1004.0,19.92032,4.0,41074.0,0.97385,20.45518,0.04889,emilio-garrastazu-medici
ajudar,1.0,1004.0,9.96016,7.0,41074.0,1.70424,5.84434,0.17111,emilio-garrastazu-medici
ajudar-se,1.0,1004.0,9.96016,1.0,41074.0,0.24346,40.91036,0.02444,emilio-garrastazu-medici
alguma,1.0,1004.0,9.96016,5.0,41074.0,1.21732,8.18207,0.12222,emilio-garrastazu-medici
ali,1.0,1004.0,9.96016,2.0,41074.0,0.48693,20.45518,0.04889,emilio-garrastazu-medici
alimentação,1.0,1004.0,9.96016,5.0,41074.0,1.21732,8.18207,0.12222,emilio-garrastazu-medici
alma,5.0,1004.0,49.8008,9.0,41074.0,2.19117,22.72798,0.044,emilio-garrastazu-medici
altivez,1.0,1004.0,9.96016,1.0,41074.0,0.24346,40.91036,0.02444,emilio-garrastazu-medici
altos,1.0,1004.0,9.96016,13.0,41074.0,3.16502,3.14695,0.31777,emilio-garrastazu-medici
amadurecido,1.0,1004.0,9.96016,1.0,41074.0,0.24346,40.91036,0.02444,emilio-garrastazu-medici
amigos,1.0,1004.0,9.96016,16.0,41074.0,3.89541,2.5569,0.3911,emilio-garrastazu-medici
amor,1.0,1004.0,9.96016,13.0,41074.0,3.16502,3.14695,0.31777,emilio-garrastazu-medici
ampliação,1.0,1004.0,9.96016,10.0,41074.0,2.43463,4.09104,0.24444,emilio-garrastazu-medici
américa,2.0,1004.0,19.92032,23.0,41074.0,5.59965,3.55742,0.2811,emilio-garrastazu-medici
