PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
acaso,1.0,362.0,27.62431,3.0,41716.0,0.71915,38.41252,0.02603,ernesto-geisel
agora,1.0,362.0,27.62431,39.0,41716.0,9.34893,2.95481,0.33843,ernesto-geisel
ainda,4.0,362.0,110.49724,109.0,41716.0,26.12906,4.2289,0.23647,ernesto-geisel
alicerçado,1.0,362.0,27.62431,1.0,41716.0,0.23972,115.23757,0.00868,ernesto-geisel
alma,1.0,362.0,27.62431,13.0,41716.0,3.11631,8.86443,0.11281,ernesto-geisel
anima,1.0,362.0,27.62431,1.0,41716.0,0.23972,115.23757,0.00868,ernesto-geisel
anos,1.0,362.0,27.62431,73.0,41716.0,17.49928,1.5786,0.63347,ernesto-geisel
anseios,1.0,362.0,27.62431,6.0,41716.0,1.4383,19.20626,0.05207,ernesto-geisel
antes,2.0,362.0,55.24862,41.0,41716.0,9.82836,5.62134,0.17789,ernesto-geisel
arco,1.0,362.0,27.62431,1.0,41716.0,0.23972,115.23757,0.00868,ernesto-geisel
assumidos,1.0,362.0,27.62431,2.0,41716.0,0.47943,57.61878,0.01736,ernesto-geisel
através,2.0,362.0,55.24862,26.0,41716.0,6.23262,8.86443,0.11281,ernesto-geisel
autêntico,1.0,362.0,27.62431,3.0,41716.0,0.71915,38.41252,0.02603,ernesto-geisel
avante,1.0,362.0,27.62431,1.0,41716.0,0.23972,115.23757,0.00868,ernesto-geisel
avançando,1.0,362.0,27.62431,1.0,41716.0,0.23972,115.23757,0.00868,ernesto-geisel
bases,1.0,362.0,27.62431,12.0,41716.0,2.87659,9.60313,0.10413,ernesto-geisel
bem,4.0,362.0,110.49724,90.0,41716.0,21.57446,5.12167,0.19525,ernesto-geisel
bem-estar,1.0,362.0,27.62431,11.0,41716.0,2.63688,10.47614,0.09545,ernesto-geisel
binômio,1.0,362.0,27.62431,1.0,41716.0,0.23972,115.23757,0.00868,ernesto-geisel
bom,1.0,362.0,27.62431,17.0,41716.0,4.07517,6.77868,0.14752,ernesto-geisel
branco,1.0,362.0,27.62431,6.0,41716.0,1.4383,19.20626,0.05207,ernesto-geisel
brasil,2.0,362.0,55.24862,278.0,41716.0,66.6411,0.82905,1.2062,ernesto-geisel
brasileiro,1.0,362.0,27.62431,108.0,41716.0,25.88935,1.06701,0.93719,ernesto-geisel
brasileiros,2.0,362.0,55.24862,125.0,41716.0,29.96452,1.8438,0.54236,ernesto-geisel
breve,1.0,362.0,27.62431,4.0,41716.0,0.95886,28.80939,0.03471,ernesto-geisel
cada,3.0,362.0,82.87293,94.0,41716.0,22.53332,3.67779,0.2719,ernesto-geisel
campos,1.0,362.0,27.62431,15.0,41716.0,3.59574,7.6825,0.13017,ernesto-geisel
castello,1.0,362.0,27.62431,3.0,41716.0,0.71915,38.41252,0.02603,ernesto-geisel
certo,1.0,362.0,27.62431,30.0,41716.0,7.19149,3.84125,0.26033,ernesto-geisel
cidades,1.0,362.0,27.62431,12.0,41716.0,2.87659,9.60313,0.10413,ernesto-geisel
compromissos,1.0,362.0,27.62431,26.0,41716.0,6.23262,4.43221,0.22562,ernesto-geisel
comunhão,1.0,362.0,27.62431,7.0,41716.0,1.67801,16.46251,0.06074,ernesto-geisel
comuns,1.0,362.0,27.62431,4.0,41716.0,0.95886,28.80939,0.03471,ernesto-geisel
confiança,2.0,362.0,55.24862,61.0,41716.0,14.62269,3.77828,0.26467,ernesto-geisel
consciência,1.0,362.0,27.62431,34.0,41716.0,8.15035,3.38934,0.29504,ernesto-geisel
consenso,1.0,362.0,27.62431,7.0,41716.0,1.67801,16.46251,0.06074,ernesto-geisel
conta,1.0,362.0,27.62431,12.0,41716.0,2.87659,9.60313,0.10413,ernesto-geisel
contexto,1.0,362.0,27.62431,6.0,41716.0,1.4383,19.20626,0.05207,ernesto-geisel
costa,1.0,362.0,27.62431,2.0,41716.0,0.47943,57.61878,0.01736,ernesto-geisel
criador,2.0,362.0,55.24862,2.0,41716.0,0.47943,115.23757,0.00868,ernesto-geisel
criação,1.0,362.0,27.62431,18.0,41716.0,4.31489,6.40209,0.1562,ernesto-geisel
cuja,1.0,362.0,27.62431,14.0,41716.0,3.35603,8.23125,0.12149,ernesto-geisel
custa,1.0,362.0,27.62431,1.0,41716.0,0.23972,115.23757,0.00868,ernesto-geisel
cívica,1.0,362.0,27.62431,8.0,41716.0,1.91773,14.4047,0.06942,ernesto-geisel
decidido,1.0,362.0,27.62431,2.0,41716.0,0.47943,57.61878,0.01736,ernesto-geisel
definitivamente,1.0,362.0,27.62431,12.0,41716.0,2.87659,9.60313,0.10413,ernesto-geisel
definitivos,1.0,362.0,27.62431,1.0,41716.0,0.23972,115.23757,0.00868,ernesto-geisel
demonstrou,1.0,362.0,27.62431,1.0,41716.0,0.23972,115.23757,0.00868,ernesto-geisel
desafios,1.0,362.0,27.62431,17.0,41716.0,4.07517,6.77868,0.14752,ernesto-geisel
desde,1.0,362.0,27.62431,46.0,41716.0,11.02694,2.50516,0.39918,ernesto-geisel
desenvolvimento,1.0,362.0,27.62431,122.0,41716.0,29.24537,0.94457,1.05868,ernesto-geisel
desta,2.0,362.0,55.24862,32.0,41716.0,7.67092,7.20235,0.13884,ernesto-geisel
destino,1.0,362.0,27.62431,14.0,41716.0,3.35603,8.23125,0.12149,ernesto-geisel
deus,1.0,362.0,27.62431,37.0,41716.0,8.8695,3.11453,0.32108,ernesto-geisel
dia,1.0,362.0,27.62431,28.0,41716.0,6.71205,4.11563,0.24298,ernesto-geisel
dias,1.0,362.0,27.62431,16.0,41716.0,3.83546,7.20235,0.13884,ernesto-geisel
dignas,1.0,362.0,27.62431,3.0,41716.0,0.71915,38.41252,0.02603,ernesto-geisel
dinamismo,1.0,362.0,27.62431,5.0,41716.0,1.19858,23.04751,0.04339,ernesto-geisel
direção,1.0,362.0,27.62431,7.0,41716.0,1.67801,16.46251,0.06074,ernesto-geisel
distante,1.0,362.0,27.62431,3.0,41716.0,0.71915,38.41252,0.02603,ernesto-geisel
distinção,1.0,362.0,27.62431,4.0,41716.0,0.95886,28.80939,0.03471,ernesto-geisel
diversos,1.0,362.0,27.62431,7.0,41716.0,1.67801,16.46251,0.06074,ernesto-geisel
dramaticamente,1.0,362.0,27.62431,1.0,41716.0,0.23972,115.23757,0.00868,ernesto-geisel
