PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abaixo,1.0,1594.0,6.27353,3.0,40484.0,0.74103,8.46591,0.11812,tancredo-neves
abertos,1.0,1594.0,6.27353,3.0,40484.0,0.74103,8.46591,0.11812,tancredo-neves
abnegação,1.0,1594.0,6.27353,2.0,40484.0,0.49402,12.69887,0.07875,tancredo-neves
abolida,1.0,1594.0,6.27353,1.0,40484.0,0.24701,25.39774,0.03937,tancredo-neves
abrir,1.0,1594.0,6.27353,9.0,40484.0,2.2231,2.82197,0.35436,tancredo-neves
absolutamente,1.0,1594.0,6.27353,6.0,40484.0,1.48207,4.23296,0.23624,tancredo-neves
acaba,1.0,1594.0,6.27353,2.0,40484.0,0.49402,12.69887,0.07875,tancredo-neves
acordo,1.0,1594.0,6.27353,13.0,40484.0,3.21115,1.95367,0.51186,tancredo-neves
adequadamente,1.0,1594.0,6.27353,1.0,40484.0,0.24701,25.39774,0.03937,tancredo-neves
aderir,1.0,1594.0,6.27353,1.0,40484.0,0.24701,25.39774,0.03937,tancredo-neves
adiáveis,1.0,1594.0,6.27353,3.0,40484.0,0.74103,8.46591,0.11812,tancredo-neves
administradores,1.0,1594.0,6.27353,1.0,40484.0,0.24701,25.39774,0.03937,tancredo-neves
administração,6.0,1594.0,37.64115,26.0,40484.0,6.42229,5.86102,0.17062,tancredo-neves
agentes,1.0,1594.0,6.27353,9.0,40484.0,2.2231,2.82197,0.35436,tancredo-neves
agir,1.0,1594.0,6.27353,7.0,40484.0,1.72908,3.62825,0.27562,tancredo-neves
agricultores,1.0,1594.0,6.27353,2.0,40484.0,0.49402,12.69887,0.07875,tancredo-neves
ainda,4.0,1594.0,25.0941,109.0,40484.0,26.92422,0.93203,1.07293,tancredo-neves
alcance,1.0,1594.0,6.27353,12.0,40484.0,2.96413,2.11648,0.47248,tancredo-neves
alguma,1.0,1594.0,6.27353,5.0,40484.0,1.23506,5.07955,0.19687,tancredo-neves
alguns,1.0,1594.0,6.27353,21.0,40484.0,5.18723,1.20942,0.82685,tancredo-neves
aliança,1.0,1594.0,6.27353,5.0,40484.0,1.23506,5.07955,0.19687,tancredo-neves
alimentação,1.0,1594.0,6.27353,5.0,40484.0,1.23506,5.07955,0.19687,tancredo-neves
alta,1.0,1594.0,6.27353,21.0,40484.0,5.18723,1.20942,0.82685,tancredo-neves
alto,4.0,1594.0,25.0941,17.0,40484.0,4.19919,5.97594,0.16734,tancredo-neves
altos,3.0,1594.0,18.82058,11.0,40484.0,2.71712,6.92666,0.14437,tancredo-neves
ambas,1.0,1594.0,6.27353,3.0,40484.0,0.74103,8.46591,0.11812,tancredo-neves
ambiciosos,1.0,1594.0,6.27353,2.0,40484.0,0.49402,12.69887,0.07875,tancredo-neves
ameaça,1.0,1594.0,6.27353,5.0,40484.0,1.23506,5.07955,0.19687,tancredo-neves
ampla,2.0,1594.0,12.54705,10.0,40484.0,2.47011,5.07955,0.19687,tancredo-neves
amplo,2.0,1594.0,12.54705,6.0,40484.0,1.48207,8.46591,0.11812,tancredo-neves
amplos,1.0,1594.0,6.27353,2.0,40484.0,0.49402,12.69887,0.07875,tancredo-neves
anseios,1.0,1594.0,6.27353,6.0,40484.0,1.48207,4.23296,0.23624,tancredo-neves
antes,2.0,1594.0,12.54705,41.0,40484.0,10.12746,1.23891,0.80716,tancredo-neves
antiinflacionária,1.0,1594.0,6.27353,2.0,40484.0,0.49402,12.69887,0.07875,tancredo-neves
anunciar,3.0,1594.0,18.82058,1.0,40484.0,0.24701,76.19322,0.01312,tancredo-neves
análise,1.0,1594.0,6.27353,2.0,40484.0,0.49402,12.69887,0.07875,tancredo-neves
apenas,2.0,1594.0,12.54705,47.0,40484.0,11.60952,1.08075,0.92528,tancredo-neves
aperfeiçoamento,1.0,1594.0,6.27353,7.0,40484.0,1.72908,3.62825,0.27562,tancredo-neves
aplicados,1.0,1594.0,6.27353,2.0,40484.0,0.49402,12.69887,0.07875,tancredo-neves
aplicação,4.0,1594.0,25.0941,8.0,40484.0,1.97609,12.69887,0.07875,tancredo-neves
apoio,5.0,1594.0,31.36763,54.0,40484.0,13.3386,2.35164,0.42523,tancredo-neves
apresentados,1.0,1594.0,6.27353,1.0,40484.0,0.24701,25.39774,0.03937,tancredo-neves
aprovação,1.0,1594.0,6.27353,2.0,40484.0,0.49402,12.69887,0.07875,tancredo-neves
aptos,1.0,1594.0,6.27353,2.0,40484.0,0.49402,12.69887,0.07875,tancredo-neves
aqui,1.0,1594.0,6.27353,50.0,40484.0,12.35056,0.50795,1.96868,tancredo-neves
articulação,1.0,1594.0,6.27353,1.0,40484.0,0.24701,25.39774,0.03937,tancredo-neves
aspectos,1.0,1594.0,6.27353,3.0,40484.0,0.74103,8.46591,0.11812,tancredo-neves
aspiração,1.0,1594.0,6.27353,12.0,40484.0,2.96413,2.11648,0.47248,tancredo-neves
aspirações,1.0,1594.0,6.27353,12.0,40484.0,2.96413,2.11648,0.47248,tancredo-neves
assegurar,1.0,1594.0,6.27353,22.0,40484.0,5.43425,1.15444,0.86622,tancredo-neves
assembleia,1.0,1594.0,6.27353,9.0,40484.0,2.2231,2.82197,0.35436,tancredo-neves
assim,3.0,1594.0,18.82058,87.0,40484.0,21.48997,0.87578,1.14183,tancredo-neves
assumir,1.0,1594.0,6.27353,12.0,40484.0,2.96413,2.11648,0.47248,tancredo-neves
atacar,1.0,1594.0,6.27353,3.0,40484.0,0.74103,8.46591,0.11812,tancredo-neves
atendendo,1.0,1594.0,6.27353,2.0,40484.0,0.49402,12.69887,0.07875,tancredo-neves
atender,1.0,1594.0,6.27353,6.0,40484.0,1.48207,4.23296,0.23624,tancredo-neves
atendimento,1.0,1594.0,6.27353,4.0,40484.0,0.98804,6.34944,0.15749,tancredo-neves
atingidos,1.0,1594.0,6.27353,1.0,40484.0,0.24701,25.39774,0.03937,tancredo-neves
atitude,1.0,1594.0,6.27353,9.0,40484.0,2.2231,2.82197,0.35436,tancredo-neves
atividade,1.0,1594.0,6.27353,18.0,40484.0,4.4462,1.41099,0.70872,tancredo-neves
atividades,2.0,1594.0,12.54705,8.0,40484.0,1.97609,6.34944,0.15749,tancredo-neves
através,7.0,1594.0,43.91468,21.0,40484.0,5.18723,8.46591,0.11812,tancredo-neves
atuais,1.0,1594.0,6.27353,7.0,40484.0,1.72908,3.62825,0.27562,tancredo-neves
atuação,1.0,1594.0,6.27353,7.0,40484.0,1.72908,3.62825,0.27562,tancredo-neves
austeridade,6.0,1594.0,37.64115,3.0,40484.0,0.74103,50.79548,0.01969,tancredo-neves
autoridade,1.0,1594.0,6.27353,17.0,40484.0,4.19919,1.49398,0.66935,tancredo-neves
avaliação,1.0,1594.0,6.27353,1.0,40484.0,0.24701,25.39774,0.03937,tancredo-neves
avançamos,1.0,1594.0,6.27353,2.0,40484.0,0.49402,12.69887,0.07875,tancredo-neves
ação,1.0,1594.0,6.27353,62.0,40484.0,15.31469,0.40964,2.44116,tancredo-neves
