PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
administrar,1.0,317.0,31.54574,2.0,41761.0,0.47892,65.86909,0.01518,itamar-franco
administração,1.0,317.0,31.54574,31.0,41761.0,7.42319,4.24962,0.23532,itamar-franco
admitir,1.0,317.0,31.54574,3.0,41761.0,0.71837,43.91272,0.02277,itamar-franco
adotadas,1.0,317.0,31.54574,3.0,41761.0,0.71837,43.91272,0.02277,itamar-franco
alegria,1.0,317.0,31.54574,8.0,41761.0,1.91566,16.46727,0.06073,itamar-franco
alguns,1.0,317.0,31.54574,21.0,41761.0,5.02862,6.27325,0.15941,itamar-franco
aliada,1.0,317.0,31.54574,2.0,41761.0,0.47892,65.86909,0.01518,itamar-franco
apenas,1.0,317.0,31.54574,48.0,41761.0,11.49398,2.74455,0.36436,itamar-franco
aspira,1.0,317.0,31.54574,1.0,41761.0,0.23946,131.73817,0.00759,itamar-franco
assim,1.0,317.0,31.54574,89.0,41761.0,21.31175,1.4802,0.67558,itamar-franco
bem,1.0,317.0,31.54574,93.0,41761.0,22.26958,1.41654,0.70595,itamar-franco
bem-estar,1.0,317.0,31.54574,11.0,41761.0,2.63404,11.9762,0.0835,itamar-franco
brasil,1.0,317.0,31.54574,279.0,41761.0,66.80875,0.47218,2.11784,itamar-franco
brasileiro,2.0,317.0,63.09148,107.0,41761.0,25.62199,2.4624,0.40611,itamar-franco
brasileiros,1.0,317.0,31.54574,126.0,41761.0,30.17169,1.04554,0.95644,itamar-franco
caberá,1.0,317.0,31.54574,3.0,41761.0,0.71837,43.91272,0.02277,itamar-franco
cada,2.0,317.0,63.09148,95.0,41761.0,22.7485,2.77344,0.36056,itamar-franco
certamente,1.0,317.0,31.54574,6.0,41761.0,1.43675,21.95636,0.04554,itamar-franco
chefe,1.0,317.0,31.54574,14.0,41761.0,3.35241,9.40987,0.10627,itamar-franco
classe,1.0,317.0,31.54574,22.0,41761.0,5.26807,5.9881,0.167,itamar-franco
coisa,1.0,317.0,31.54574,10.0,41761.0,2.39458,13.17382,0.07591,itamar-franco
colheita,1.0,317.0,31.54574,1.0,41761.0,0.23946,131.73817,0.00759,itamar-franco
colocar,1.0,317.0,31.54574,9.0,41761.0,2.15512,14.63757,0.06832,itamar-franco
comecemos,1.0,317.0,31.54574,1.0,41761.0,0.23946,131.73817,0.00759,itamar-franco
comum,3.0,317.0,94.63722,16.0,41761.0,3.83133,24.70091,0.04048,itamar-franco
conclamo,1.0,317.0,31.54574,3.0,41761.0,0.71837,43.91272,0.02277,itamar-franco
conjunto,1.0,317.0,31.54574,18.0,41761.0,4.31024,7.31879,0.13663,itamar-franco
consciência,2.0,317.0,63.09148,33.0,41761.0,7.90211,7.98413,0.12525,itamar-franco
constituição,1.0,317.0,31.54574,60.0,41761.0,14.36747,2.19564,0.45545,itamar-franco
contra,2.0,317.0,63.09148,59.0,41761.0,14.12801,4.4657,0.22393,itamar-franco
