PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abalo,1.0,1408.0,7.10227,4.0,40670.0,0.98353,7.22124,0.13848,fernando-henrique-cardoso-2
aberta,1.0,1408.0,7.10227,3.0,40670.0,0.73764,9.62831,0.10386,fernando-henrique-cardoso-2
abre,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
aceitar,1.0,1408.0,7.10227,3.0,40670.0,0.73764,9.62831,0.10386,fernando-henrique-cardoso-2
acerto,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
acertos,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
acesso,1.0,1408.0,7.10227,22.0,40670.0,5.40939,1.31295,0.76164,fernando-henrique-cardoso-2
acima,1.0,1408.0,7.10227,13.0,40670.0,3.19646,2.22192,0.45006,fernando-henrique-cardoso-2
administrativa,1.0,1408.0,7.10227,4.0,40670.0,0.98353,7.22124,0.13848,fernando-henrique-cardoso-2
adotando,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
aeroportos,1.0,1408.0,7.10227,3.0,40670.0,0.73764,9.62831,0.10386,fernando-henrique-cardoso-2
afeta,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
afetar,1.0,1408.0,7.10227,4.0,40670.0,0.98353,7.22124,0.13848,fernando-henrique-cardoso-2
agenda,1.0,1408.0,7.10227,3.0,40670.0,0.73764,9.62831,0.10386,fernando-henrique-cardoso-2
agora,3.0,1408.0,21.30682,37.0,40670.0,9.09761,2.34202,0.42698,fernando-henrique-cardoso-2
agradeço,1.0,1408.0,7.10227,7.0,40670.0,1.72117,4.12642,0.24234,fernando-henrique-cardoso-2
agrária,1.0,1408.0,7.10227,7.0,40670.0,1.72117,4.12642,0.24234,fernando-henrique-cardoso-2
ainda,7.0,1408.0,49.71591,106.0,40670.0,26.06344,1.9075,0.52425,fernando-henrique-cardoso-2
ajuste,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
alcançado,1.0,1408.0,7.10227,2.0,40670.0,0.49176,14.44247,0.06924,fernando-henrique-cardoso-2
algo,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
alimentar,1.0,1408.0,7.10227,5.0,40670.0,1.22941,5.77699,0.1731,fernando-henrique-cardoso-2
alta,1.0,1408.0,7.10227,21.0,40670.0,5.16351,1.37547,0.72702,fernando-henrique-cardoso-2
alternativa,2.0,1408.0,14.20455,1.0,40670.0,0.24588,57.76989,0.01731,fernando-henrique-cardoso-2
altos,1.0,1408.0,7.10227,13.0,40670.0,3.19646,2.22192,0.45006,fernando-henrique-cardoso-2
ameaça,1.0,1408.0,7.10227,5.0,40670.0,1.22941,5.77699,0.1731,fernando-henrique-cardoso-2
amigo,1.0,1408.0,7.10227,2.0,40670.0,0.49176,14.44247,0.06924,fernando-henrique-cardoso-2
amigos,1.0,1408.0,7.10227,16.0,40670.0,3.9341,1.80531,0.55392,fernando-henrique-cardoso-2
amor,1.0,1408.0,7.10227,13.0,40670.0,3.19646,2.22192,0.45006,fernando-henrique-cardoso-2
ampla,1.0,1408.0,7.10227,11.0,40670.0,2.7047,2.6259,0.38082,fernando-henrique-cardoso-2
ampliação,1.0,1408.0,7.10227,10.0,40670.0,2.45881,2.88849,0.3462,fernando-henrique-cardoso-2
américa,1.0,1408.0,7.10227,24.0,40670.0,5.90116,1.20354,0.83088,fernando-henrique-cardoso-2
ano,3.0,1408.0,21.30682,33.0,40670.0,8.11409,2.6259,0.38082,fernando-henrique-cardoso-2
anos,5.0,1408.0,35.51136,69.0,40670.0,16.96582,2.09311,0.47776,fernando-henrique-cardoso-2
antes,5.0,1408.0,35.51136,38.0,40670.0,9.3435,3.80065,0.26311,fernando-henrique-cardoso-2
antiga,1.0,1408.0,7.10227,2.0,40670.0,0.49176,14.44247,0.06924,fernando-henrique-cardoso-2
apenas,1.0,1408.0,7.10227,48.0,40670.0,11.80231,0.60177,1.66177,fernando-henrique-cardoso-2
apoiar,1.0,1408.0,7.10227,4.0,40670.0,0.98353,7.22124,0.13848,fernando-henrique-cardoso-2
apoio,3.0,1408.0,21.30682,56.0,40670.0,13.76936,1.54741,0.64624,fernando-henrique-cardoso-2
aprender,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
aprofundar,1.0,1408.0,7.10227,4.0,40670.0,0.98353,7.22124,0.13848,fernando-henrique-cardoso-2
aprovadas,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
arbítrio,1.0,1408.0,7.10227,6.0,40670.0,1.47529,4.81416,0.20772,fernando-henrique-cardoso-2
arquitetura,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
aspirar,1.0,1408.0,7.10227,2.0,40670.0,0.49176,14.44247,0.06924,fernando-henrique-cardoso-2
aspiração,1.0,1408.0,7.10227,12.0,40670.0,2.95058,2.40708,0.41544,fernando-henrique-cardoso-2
assegurando,1.0,1408.0,7.10227,4.0,40670.0,0.98353,7.22124,0.13848,fernando-henrique-cardoso-2
assegurar,2.0,1408.0,14.20455,21.0,40670.0,5.16351,2.75095,0.36351,fernando-henrique-cardoso-2
assim,10.0,1408.0,71.02273,80.0,40670.0,19.67052,3.61062,0.27696,fernando-henrique-cardoso-2
assistência,1.0,1408.0,7.10227,6.0,40670.0,1.47529,4.81416,0.20772,fernando-henrique-cardoso-2
assume,1.0,1408.0,7.10227,6.0,40670.0,1.47529,4.81416,0.20772,fernando-henrique-cardoso-2
assumo,1.0,1408.0,7.10227,8.0,40670.0,1.96705,3.61062,0.27696,fernando-henrique-cardoso-2
atender,1.0,1408.0,7.10227,6.0,40670.0,1.47529,4.81416,0.20772,fernando-henrique-cardoso-2
atendimento,1.0,1408.0,7.10227,4.0,40670.0,0.98353,7.22124,0.13848,fernando-henrique-cardoso-2
atenção,1.0,1408.0,7.10227,26.0,40670.0,6.39292,1.11096,0.90012,fernando-henrique-cardoso-2
ativa,2.0,1408.0,14.20455,4.0,40670.0,0.98353,14.44247,0.06924,fernando-henrique-cardoso-2
ativo,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
atual,1.0,1408.0,7.10227,17.0,40670.0,4.17999,1.69911,0.58854,fernando-henrique-cardoso-2
aumenta,1.0,1408.0,7.10227,4.0,40670.0,0.98353,7.22124,0.13848,fernando-henrique-cardoso-2
aumentando,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
aumento,1.0,1408.0,7.10227,20.0,40670.0,4.91763,1.44425,0.6924,fernando-henrique-cardoso-2
autoritarismo,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
avançamos,1.0,1408.0,7.10227,2.0,40670.0,0.49176,14.44247,0.06924,fernando-henrique-cardoso-2
avançando,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
avançar,1.0,1408.0,7.10227,16.0,40670.0,3.9341,1.80531,0.55392,fernando-henrique-cardoso-2
ação,1.0,1408.0,7.10227,62.0,40670.0,15.24465,0.46589,2.14645,fernando-henrique-cardoso-2
ações,1.0,1408.0,7.10227,12.0,40670.0,2.95058,2.40708,0.41544,fernando-henrique-cardoso-2
áfrica,1.0,1408.0,7.10227,6.0,40670.0,1.47529,4.81416,0.20772,fernando-henrique-cardoso-2
bem-estar,1.0,1408.0,7.10227,11.0,40670.0,2.7047,2.6259,0.38082,fernando-henrique-cardoso-2
benefícios,1.0,1408.0,7.10227,12.0,40670.0,2.95058,2.40708,0.41544,fernando-henrique-cardoso-2
bens,1.0,1408.0,7.10227,8.0,40670.0,1.96705,3.61062,0.27696,fernando-henrique-cardoso-2
brasil,15.0,1408.0,106.53409,265.0,40670.0,65.15859,1.635,0.61162,fernando-henrique-cardoso-2
brasileira,2.0,1408.0,14.20455,67.0,40670.0,16.47406,0.86224,1.15977,fernando-henrique-cardoso-2
brasileiras,2.0,1408.0,14.20455,33.0,40670.0,8.11409,1.7506,0.57123,fernando-henrique-cardoso-2
brasileiro,4.0,1408.0,28.40909,105.0,40670.0,25.81756,1.10038,0.90878,fernando-henrique-cardoso-2
brasileiros,10.0,1408.0,71.02273,117.0,40670.0,28.76813,2.4688,0.40506,fernando-henrique-cardoso-2
braço,1.0,1408.0,7.10227,3.0,40670.0,0.73764,9.62831,0.10386,fernando-henrique-cardoso-2
breve,1.0,1408.0,7.10227,4.0,40670.0,0.98353,7.22124,0.13848,fernando-henrique-cardoso-2
básicos,2.0,1408.0,14.20455,5.0,40670.0,1.22941,11.55398,0.08655,fernando-henrique-cardoso-2
cada,4.0,1408.0,28.40909,93.0,40670.0,22.86698,1.24236,0.80492,fernando-henrique-cardoso-2
caminha,1.0,1408.0,7.10227,1.0,40670.0,0.24588,28.88494,0.03462,fernando-henrique-cardoso-2
caminho,3.0,1408.0,21.30682,27.0,40670.0,6.6388,3.20944,0.31158,fernando-henrique-cardoso-2
