PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
aberta,1.0,2081.0,4.80538,3.0,39997.0,0.75006,6.4067,0.15609,lula-2
abertura,1.0,2081.0,4.80538,9.0,39997.0,2.25017,2.13557,0.46826,lula-2
abrir,1.0,2081.0,4.80538,9.0,39997.0,2.25017,2.13557,0.46826,lula-2
absorver,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,lula-2
acelerado,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,lula-2
acelerar,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,lula-2
aceleração,1.0,2081.0,4.80538,5.0,39997.0,1.25009,3.84402,0.26014,lula-2
acesso,7.0,2081.0,33.63767,16.0,39997.0,4.0003,8.40879,0.11892,lula-2
acumulada,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,lula-2
adequadas,1.0,2081.0,4.80538,5.0,39997.0,1.25009,3.84402,0.26014,lula-2
adequado,1.0,2081.0,4.80538,3.0,39997.0,0.75006,6.4067,0.15609,lula-2
adiante,1.0,2081.0,4.80538,4.0,39997.0,1.00008,4.80502,0.20812,lula-2
admite,1.0,2081.0,4.80538,3.0,39997.0,0.75006,6.4067,0.15609,lula-2
afirmou,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,lula-2
afligem,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,lula-2
agenda,1.0,2081.0,4.80538,3.0,39997.0,0.75006,6.4067,0.15609,lula-2
agilizar,2.0,2081.0,9.61076,1.0,39997.0,0.25002,38.44017,0.02601,lula-2
agricultura,3.0,2081.0,14.41615,18.0,39997.0,4.50034,3.20335,0.31217,lula-2
agrária,1.0,2081.0,4.80538,7.0,39997.0,1.75013,2.74573,0.3642,lula-2
ainda,9.0,2081.0,43.24844,104.0,39997.0,26.00195,1.66328,0.60122,lula-2
ajudar,3.0,2081.0,14.41615,5.0,39997.0,1.25009,11.53205,0.08671,lula-2
alavanca,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,lula-2
alencar,2.0,2081.0,9.61076,4.0,39997.0,1.00008,9.61004,0.10406,lula-2
algo,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,lula-2
alguma,1.0,2081.0,4.80538,5.0,39997.0,1.25009,3.84402,0.26014,lula-2
alguns,4.0,2081.0,19.22153,18.0,39997.0,4.50034,4.27113,0.23413,lula-2
alicerces,1.0,2081.0,4.80538,3.0,39997.0,0.75006,6.4067,0.15609,lula-2
alinhamentos,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,lula-2
alternativas,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,lula-2
alto,3.0,2081.0,14.41615,18.0,39997.0,4.50034,3.20335,0.31217,lula-2
altos,1.0,2081.0,4.80538,13.0,39997.0,3.25024,1.47847,0.67638,lula-2
altura,1.0,2081.0,4.80538,5.0,39997.0,1.25009,3.84402,0.26014,lula-2
além,1.0,2081.0,4.80538,31.0,39997.0,7.75058,0.62,1.6129,lula-2
amarras,1.0,2081.0,4.80538,3.0,39997.0,0.75006,6.4067,0.15609,lula-2
ambiciosos,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,lula-2
ambiental,1.0,2081.0,4.80538,11.0,39997.0,2.75021,1.74728,0.57232,lula-2
amigas,1.0,2081.0,4.80538,6.0,39997.0,1.50011,3.20335,0.31217,lula-2
amigo,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,lula-2
amigos,1.0,2081.0,4.80538,16.0,39997.0,4.0003,1.20126,0.83246,lula-2
amor,1.0,2081.0,4.80538,13.0,39997.0,3.25024,1.47847,0.67638,lula-2
ampla,1.0,2081.0,4.80538,11.0,39997.0,2.75021,1.74728,0.57232,lula-2
amplamente,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,lula-2
amplas,1.0,2081.0,4.80538,4.0,39997.0,1.00008,4.80502,0.20812,lula-2
ampliamos,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,lula-2
ampliar,4.0,2081.0,19.22153,9.0,39997.0,2.25017,8.54226,0.11707,lula-2
ampliação,2.0,2081.0,9.61076,9.0,39997.0,2.25017,4.27113,0.23413,lula-2
amplo,1.0,2081.0,4.80538,7.0,39997.0,1.75013,2.74573,0.3642,lula-2
andamento,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,lula-2
anos,13.0,2081.0,62.46997,61.0,39997.0,15.25114,4.09608,0.24414,lula-2
antônio,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,lula-2
apenas,4.0,2081.0,19.22153,45.0,39997.0,11.25084,1.70845,0.58533,lula-2
aperfeiçoamento,2.0,2081.0,9.61076,6.0,39997.0,1.50011,6.4067,0.15609,lula-2
aperfeiçoar,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,lula-2
apesar,1.0,2081.0,4.80538,14.0,39997.0,3.50026,1.37286,0.7284,lula-2
aplicados,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,lula-2
apoiando,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,lula-2
aprofundar,1.0,2081.0,4.80538,4.0,39997.0,1.00008,4.80502,0.20812,lula-2
aprovação,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,lula-2
aqui,4.0,2081.0,19.22153,47.0,39997.0,11.75088,1.63575,0.61134,lula-2
