PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abandonadas,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,dilma-rousseff-1
abençoe,2.0,2081.0,9.61076,1.0,39997.0,0.25002,38.44017,0.02601,dilma-rousseff-1
abrir,1.0,2081.0,4.80538,9.0,39997.0,2.25017,2.13557,0.46826,dilma-rousseff-1
acelerado,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,dilma-rousseff-1
aceleração,1.0,2081.0,4.80538,5.0,39997.0,1.25009,3.84402,0.26014,dilma-rousseff-1
acompanhar,2.0,2081.0,9.61076,1.0,39997.0,0.25002,38.44017,0.02601,dilma-rousseff-1
acordos,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,dilma-rousseff-1
acreditar,1.0,2081.0,4.80538,8.0,39997.0,2.00015,2.40251,0.41623,dilma-rousseff-1
acúmulo,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,dilma-rousseff-1
adequada,1.0,2081.0,4.80538,3.0,39997.0,0.75006,6.4067,0.15609,dilma-rousseff-1
adequadamente,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,dilma-rousseff-1
aeroportos,1.0,2081.0,4.80538,3.0,39997.0,0.75006,6.4067,0.15609,dilma-rousseff-1
afirmação,3.0,2081.0,14.41615,8.0,39997.0,2.00015,7.20753,0.13874,dilma-rousseff-1
agente,1.0,2081.0,4.80538,3.0,39997.0,0.75006,6.4067,0.15609,dilma-rousseff-1
agir,1.0,2081.0,4.80538,7.0,39997.0,1.75013,2.74573,0.3642,dilma-rousseff-1
agora,1.0,2081.0,4.80538,39.0,39997.0,9.75073,0.49282,2.02913,dilma-rousseff-1
agricultura,3.0,2081.0,14.41615,18.0,39997.0,4.50034,3.20335,0.31217,dilma-rousseff-1
agronegócio,1.0,2081.0,4.80538,3.0,39997.0,0.75006,6.4067,0.15609,dilma-rousseff-1
agrícola,1.0,2081.0,4.80538,12.0,39997.0,3.00023,1.60167,0.62435,dilma-rousseff-1
ainda,6.0,2081.0,28.83229,107.0,39997.0,26.75201,1.07776,0.92785,dilma-rousseff-1
ajuda,1.0,2081.0,4.80538,5.0,39997.0,1.25009,3.84402,0.26014,dilma-rousseff-1
ajudar,1.0,2081.0,4.80538,7.0,39997.0,1.75013,2.74573,0.3642,dilma-rousseff-1
alcançada,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,dilma-rousseff-1
alcançar,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,dilma-rousseff-1
alegria,3.0,2081.0,14.41615,6.0,39997.0,1.50011,9.61004,0.10406,dilma-rousseff-1
alencar,2.0,2081.0,9.61076,4.0,39997.0,1.00008,9.61004,0.10406,dilma-rousseff-1
aliciamento,1.0,2081.0,4.80538,1.0,39997.0,0.25002,19.22009,0.05203,dilma-rousseff-1
alimentos,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,dilma-rousseff-1
aliás,1.0,2081.0,4.80538,6.0,39997.0,1.50011,3.20335,0.31217,dilma-rousseff-1
alma,1.0,2081.0,4.80538,13.0,39997.0,3.25024,1.47847,0.67638,dilma-rousseff-1
alternativas,1.0,2081.0,4.80538,2.0,39997.0,0.50004,9.61004,0.10406,dilma-rousseff-1
além,2.0,2081.0,9.61076,30.0,39997.0,7.50056,1.28134,0.78043,dilma-rousseff-1
amar,1.0,2081.0,4.80538,4.0,39997.0,1.00008,4.80502,0.20812,dilma-rousseff-1
amazônia,1.0,2081.0,4.80538,5.0,39997.0,1.25009,3.84402,0.26014,dilma-rousseff-1
ambiental,5.0,2081.0,24.02691,7.0,39997.0,1.75013,13.72863,0.07284,dilma-rousseff-1
ambiente,2.0,2081.0,9.61076,17.0,39997.0,4.25032,2.26119,0.44225,dilma-rousseff-1
amor,2.0,2081.0,9.61076,12.0,39997.0,3.00023,3.20335,0.31217,dilma-rousseff-1
ampla,1.0,2081.0,4.80538,11.0,39997.0,2.75021,1.74728,0.57232,dilma-rousseff-1
amplas,2.0,2081.0,9.61076,3.0,39997.0,0.75006,12.81339,0.07804,dilma-rousseff-1
