PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abençoe,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
absoluta,2.0,1431.0,13.97624,10.0,40647.0,2.46021,5.68092,0.17603,michel-temer
absolutamente,1.0,1431.0,6.98812,6.0,40647.0,1.47612,4.7341,0.21123,michel-temer
absoluto,1.0,1431.0,6.98812,1.0,40647.0,0.24602,28.40461,0.03521,michel-temer
acabar,1.0,1431.0,6.98812,7.0,40647.0,1.72214,4.0578,0.24644,michel-temer
acompanham,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
acordo,1.0,1431.0,6.98812,13.0,40647.0,3.19827,2.18497,0.45767,michel-temer
adequadas,2.0,1431.0,13.97624,4.0,40647.0,0.98408,14.20231,0.07041,michel-temer
adiante,2.0,1431.0,13.97624,3.0,40647.0,0.73806,18.93641,0.05281,michel-temer
administrativos,1.0,1431.0,6.98812,1.0,40647.0,0.24602,28.40461,0.03521,michel-temer
adquiridos,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
agenda,1.0,1431.0,6.98812,3.0,40647.0,0.73806,9.4682,0.10562,michel-temer
agentes,1.0,1431.0,6.98812,9.0,40647.0,2.21419,3.15607,0.31685,michel-temer
agora,3.0,1431.0,20.96436,37.0,40647.0,9.10276,2.30308,0.4342,michel-temer
agricultura,3.0,1431.0,20.96436,18.0,40647.0,4.42837,4.7341,0.21123,michel-temer
agronegócio,2.0,1431.0,13.97624,2.0,40647.0,0.49204,28.40461,0.03521,michel-temer
ainda,4.0,1431.0,27.95248,109.0,40647.0,26.81625,1.04237,0.95935,michel-temer
alguma,1.0,1431.0,6.98812,5.0,40647.0,1.2301,5.68092,0.17603,michel-temer
aliás,2.0,1431.0,13.97624,5.0,40647.0,1.2301,11.36184,0.08801,michel-temer
alta,3.0,1431.0,20.96436,19.0,40647.0,4.67439,4.48494,0.22297,michel-temer
altura,1.0,1431.0,6.98812,5.0,40647.0,1.2301,5.68092,0.17603,michel-temer
além,3.0,1431.0,20.96436,29.0,40647.0,7.1346,2.93841,0.34032,michel-temer
ambiente,1.0,1431.0,6.98812,18.0,40647.0,4.42837,1.57803,0.6337,michel-temer
amigos,9.0,1431.0,62.89308,8.0,40647.0,1.96816,31.95519,0.03129,michel-temer
amplamente,1.0,1431.0,6.98812,1.0,40647.0,0.24602,28.40461,0.03521,michel-temer
anos,1.0,1431.0,6.98812,73.0,40647.0,17.95951,0.3891,2.57001,michel-temer
apenas,2.0,1431.0,13.97624,47.0,40647.0,11.56297,1.20871,0.82733,michel-temer
aplicação,1.0,1431.0,6.98812,11.0,40647.0,2.70623,2.58224,0.38726,michel-temer
apoiando,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
apoio,2.0,1431.0,13.97624,57.0,40647.0,14.02318,0.99665,1.00336,michel-temer
apuração,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
aqui,8.0,1431.0,55.90496,43.0,40647.0,10.57889,5.28458,0.18923,michel-temer
artificial,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
ascenderam,1.0,1431.0,6.98812,1.0,40647.0,0.24602,28.40461,0.03521,michel-temer
assegurar,1.0,1431.0,6.98812,22.0,40647.0,5.41245,1.29112,0.77452,michel-temer
assim,1.0,1431.0,6.98812,89.0,40647.0,21.89583,0.31915,3.13329,michel-temer
assumindo,1.0,1431.0,6.98812,5.0,40647.0,1.2301,5.68092,0.17603,michel-temer
atenção,2.0,1431.0,13.97624,25.0,40647.0,6.15052,2.27237,0.44007,michel-temer
atingir,1.0,1431.0,6.98812,6.0,40647.0,1.47612,4.7341,0.21123,michel-temer
atividade,2.0,1431.0,13.97624,17.0,40647.0,4.18235,3.34172,0.29925,michel-temer
atividades,1.0,1431.0,6.98812,9.0,40647.0,2.21419,3.15607,0.31685,michel-temer
ato,2.0,1431.0,13.97624,18.0,40647.0,4.42837,3.15607,0.31685,michel-temer
atrair,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
atual,1.0,1431.0,6.98812,17.0,40647.0,4.18235,1.67086,0.59849,michel-temer
atualmente,1.0,1431.0,6.98812,5.0,40647.0,1.2301,5.68092,0.17603,michel-temer
atuação,4.0,1431.0,27.95248,4.0,40647.0,0.98408,28.40461,0.03521,michel-temer
aumento,1.0,1431.0,6.98812,20.0,40647.0,4.92041,1.42023,0.70411,michel-temer
autodeterminação,1.0,1431.0,6.98812,4.0,40647.0,0.98408,7.10115,0.14082,michel-temer
autonomia,1.0,1431.0,6.98812,12.0,40647.0,2.95225,2.36705,0.42247,michel-temer
avançar,1.0,1431.0,6.98812,16.0,40647.0,3.93633,1.77529,0.56329,michel-temer
ação,1.0,1431.0,6.98812,62.0,40647.0,15.25328,0.45814,2.18274,michel-temer
banco,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
bandeira,1.0,1431.0,6.98812,5.0,40647.0,1.2301,5.68092,0.17603,michel-temer
base,2.0,1431.0,13.97624,28.0,40647.0,6.88858,2.0289,0.49288,michel-temer
bases,2.0,1431.0,13.97624,11.0,40647.0,2.70623,5.16447,0.19363,michel-temer
bem,4.0,1431.0,27.95248,90.0,40647.0,22.14186,1.26243,0.79212,michel-temer
bem-estar,1.0,1431.0,6.98812,11.0,40647.0,2.70623,2.58224,0.38726,michel-temer
bilhões,2.0,1431.0,13.97624,4.0,40647.0,0.98408,14.20231,0.07041,michel-temer
bolsa,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
bom,2.0,1431.0,13.97624,16.0,40647.0,3.93633,3.55058,0.28164,michel-temer
branco,1.0,1431.0,6.98812,6.0,40647.0,1.47612,4.7341,0.21123,michel-temer
brasil,13.0,1431.0,90.84556,267.0,40647.0,65.6875,1.383,0.72307,michel-temer
brasileira,4.0,1431.0,27.95248,65.0,40647.0,15.99134,1.74798,0.57209,michel-temer
brasileiro,5.0,1431.0,34.9406,104.0,40647.0,25.58614,1.36561,0.73228,michel-temer
brasileiros,7.0,1431.0,48.91684,120.0,40647.0,29.52247,1.65694,0.60352,michel-temer
busca,3.0,1431.0,20.96436,11.0,40647.0,2.70623,7.74671,0.12909,michel-temer
cabeça,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
cada,1.0,1431.0,6.98812,96.0,40647.0,23.61798,0.29588,3.37973,michel-temer
caminhando,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
caminho,1.0,1431.0,6.98812,29.0,40647.0,7.1346,0.97947,1.02096,michel-temer
capacidade,1.0,1431.0,6.98812,22.0,40647.0,5.41245,1.29112,0.77452,michel-temer
capazes,1.0,1431.0,6.98812,16.0,40647.0,3.93633,1.77529,0.56329,michel-temer
cargos,1.0,1431.0,6.98812,4.0,40647.0,0.98408,7.10115,0.14082,michel-temer
caráter,1.0,1431.0,6.98812,20.0,40647.0,4.92041,1.42023,0.70411,michel-temer
casa,2.0,1431.0,13.97624,23.0,40647.0,5.65847,2.46997,0.40486,michel-temer
cedo,2.0,1431.0,13.97624,2.0,40647.0,0.49204,28.40461,0.03521,michel-temer
central,1.0,1431.0,6.98812,8.0,40647.0,1.96816,3.55058,0.28164,michel-temer
centralidade,1.0,1431.0,6.98812,1.0,40647.0,0.24602,28.40461,0.03521,michel-temer
centro,1.0,1431.0,6.98812,10.0,40647.0,2.46021,2.84046,0.35206,michel-temer
cerimônia,5.0,1431.0,34.9406,3.0,40647.0,0.73806,47.34102,0.02112,michel-temer
certa,1.0,1431.0,6.98812,4.0,40647.0,0.98408,7.10115,0.14082,michel-temer
certo,2.0,1431.0,13.97624,29.0,40647.0,7.1346,1.95894,0.51048,michel-temer
certos,1.0,1431.0,6.98812,6.0,40647.0,1.47612,4.7341,0.21123,michel-temer
chamados,1.0,1431.0,6.98812,1.0,40647.0,0.24602,28.40461,0.03521,michel-temer
chamo,2.0,1431.0,13.97624,2.0,40647.0,0.49204,28.40461,0.03521,michel-temer
cidadão,1.0,1431.0,6.98812,20.0,40647.0,4.92041,1.42023,0.70411,michel-temer
cidadãos,1.0,1431.0,6.98812,18.0,40647.0,4.42837,1.57803,0.6337,michel-temer
classe,5.0,1431.0,34.9406,18.0,40647.0,4.42837,7.89017,0.12674,michel-temer
clima,1.0,1431.0,6.98812,3.0,40647.0,0.73806,9.4682,0.10562,michel-temer
coisa,3.0,1431.0,20.96436,8.0,40647.0,1.96816,10.65173,0.09388,michel-temer
colaborar,1.0,1431.0,6.98812,6.0,40647.0,1.47612,4.7341,0.21123,michel-temer
colaboração,1.0,1431.0,6.98812,21.0,40647.0,5.16643,1.3526,0.73932,michel-temer
colegas,1.0,1431.0,6.98812,1.0,40647.0,0.24602,28.40461,0.03521,michel-temer
colocar,1.0,1431.0,6.98812,9.0,40647.0,2.21419,3.15607,0.31685,michel-temer
começaram,1.0,1431.0,6.98812,3.0,40647.0,0.73806,9.4682,0.10562,michel-temer
compete,2.0,1431.0,13.97624,2.0,40647.0,0.49204,28.40461,0.03521,michel-temer
competições,1.0,1431.0,6.98812,3.0,40647.0,0.73806,9.4682,0.10562,michel-temer
complicada,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
compreendemos,1.0,1431.0,6.98812,1.0,40647.0,0.24602,28.40461,0.03521,michel-temer
compreensão,1.0,1431.0,6.98812,7.0,40647.0,1.72214,4.0578,0.24644,michel-temer
compromisso,1.0,1431.0,6.98812,40.0,40647.0,9.84082,0.71012,1.40822,michel-temer
comércio,2.0,1431.0,13.97624,30.0,40647.0,7.38062,1.89364,0.52808,michel-temer
conceitos,1.0,1431.0,6.98812,1.0,40647.0,0.24602,28.40461,0.03521,michel-temer
concerto,2.0,1431.0,13.97624,2.0,40647.0,0.49204,28.40461,0.03521,michel-temer
condições,2.0,1431.0,13.97624,65.0,40647.0,15.99134,0.87399,1.14418,michel-temer
confiança,4.0,1431.0,27.95248,59.0,40647.0,14.51522,1.92574,0.51928,michel-temer
conflitos,1.0,1431.0,6.98812,9.0,40647.0,2.21419,3.15607,0.31685,michel-temer
congressistas,1.0,1431.0,6.98812,14.0,40647.0,3.44429,2.0289,0.49288,michel-temer
congresso,4.0,1431.0,27.95248,72.0,40647.0,17.71348,1.57803,0.6337,michel-temer
conjugação,2.0,1431.0,13.97624,1.0,40647.0,0.24602,56.80922,0.0176,michel-temer
conjunto,1.0,1431.0,6.98812,18.0,40647.0,4.42837,1.57803,0.6337,michel-temer
consagrados,1.0,1431.0,6.98812,1.0,40647.0,0.24602,28.40461,0.03521,michel-temer
consegue,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
conseguiremos,1.0,1431.0,6.98812,3.0,40647.0,0.73806,9.4682,0.10562,michel-temer
consenso,1.0,1431.0,6.98812,7.0,40647.0,1.72214,4.0578,0.24644,michel-temer
consequências,1.0,1431.0,6.98812,9.0,40647.0,2.21419,3.15607,0.31685,michel-temer
consigo,1.0,1431.0,6.98812,5.0,40647.0,1.2301,5.68092,0.17603,michel-temer
consolidação,1.0,1431.0,6.98812,7.0,40647.0,1.72214,4.0578,0.24644,michel-temer
constitucional,1.0,1431.0,6.98812,24.0,40647.0,5.90449,1.18353,0.84493,michel-temer
constituição,11.0,1431.0,76.86932,50.0,40647.0,12.30103,6.24901,0.16003,michel-temer
conta,1.0,1431.0,6.98812,12.0,40647.0,2.95225,2.36705,0.42247,michel-temer
contar,1.0,1431.0,6.98812,6.0,40647.0,1.47612,4.7341,0.21123,michel-temer
contas,2.0,1431.0,13.97624,13.0,40647.0,3.19827,4.36994,0.22884,michel-temer
contexto,1.0,1431.0,6.98812,6.0,40647.0,1.47612,4.7341,0.21123,michel-temer
contra,1.0,1431.0,6.98812,60.0,40647.0,14.76124,0.47341,2.11233,michel-temer
controle,1.0,1431.0,6.98812,16.0,40647.0,3.93633,1.77529,0.56329,michel-temer
contrário,2.0,1431.0,13.97624,9.0,40647.0,2.21419,6.31214,0.15842,michel-temer
convicção,2.0,1431.0,13.97624,18.0,40647.0,4.42837,3.15607,0.31685,michel-temer
convivência,1.0,1431.0,6.98812,11.0,40647.0,2.70623,2.58224,0.38726,michel-temer
convém,1.0,1431.0,6.98812,4.0,40647.0,0.98408,7.10115,0.14082,michel-temer
correntes,1.0,1431.0,6.98812,3.0,40647.0,0.73806,9.4682,0.10562,michel-temer
credibilidade,1.0,1431.0,6.98812,3.0,40647.0,0.73806,9.4682,0.10562,michel-temer
crescimento,4.0,1431.0,27.95248,57.0,40647.0,14.02318,1.99331,0.50168,michel-temer
cria,2.0,1431.0,13.97624,1.0,40647.0,0.24602,56.80922,0.0176,michel-temer
criamos,1.0,1431.0,6.98812,3.0,40647.0,0.73806,9.4682,0.10562,michel-temer
criar,1.0,1431.0,6.98812,28.0,40647.0,6.88858,1.01445,0.98576,michel-temer
crise,5.0,1431.0,34.9406,21.0,40647.0,5.16643,6.763,0.14786,michel-temer
critério,1.0,1431.0,6.98812,5.0,40647.0,1.2301,5.68092,0.17603,michel-temer
cuidar,1.0,1431.0,6.98812,7.0,40647.0,1.72214,4.0578,0.24644,michel-temer
cumprido,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
cumprirei,1.0,1431.0,6.98812,3.0,40647.0,0.73806,9.4682,0.10562,michel-temer
dado,1.0,1431.0,6.98812,9.0,40647.0,2.21419,3.15607,0.31685,michel-temer
dar,2.0,1431.0,13.97624,39.0,40647.0,9.5948,1.45665,0.68651,michel-temer
decisivas,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
declarar,1.0,1431.0,6.98812,1.0,40647.0,0.24602,28.40461,0.03521,michel-temer
defesa,1.0,1431.0,6.98812,49.0,40647.0,12.05501,0.57969,1.72507,michel-temer
definição,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
democracia,4.0,1431.0,27.95248,63.0,40647.0,15.4993,1.80347,0.55449,michel-temer
democrática,1.0,1431.0,6.98812,22.0,40647.0,5.41245,1.29112,0.77452,michel-temer
dentre,1.0,1431.0,6.98812,5.0,40647.0,1.2301,5.68092,0.17603,michel-temer
depende,1.0,1431.0,6.98812,14.0,40647.0,3.44429,2.0289,0.49288,michel-temer
deram,1.0,1431.0,6.98812,3.0,40647.0,0.73806,9.4682,0.10562,michel-temer
deriva,2.0,1431.0,13.97624,4.0,40647.0,0.98408,14.20231,0.07041,michel-temer
desafiam,1.0,1431.0,6.98812,1.0,40647.0,0.24602,28.40461,0.03521,michel-temer
desafio,1.0,1431.0,6.98812,13.0,40647.0,3.19827,2.18497,0.45767,michel-temer
desafios,3.0,1431.0,20.96436,15.0,40647.0,3.69031,5.68092,0.17603,michel-temer
desde,1.0,1431.0,6.98812,46.0,40647.0,11.31695,0.61749,1.61946,michel-temer
desdobramento,1.0,1431.0,6.98812,2.0,40647.0,0.49204,14.20231,0.07041,michel-temer
desemprego,2.0,1431.0,13.97624,11.0,40647.0,2.70623,5.16447,0.19363,michel-temer
desespero,1.0,1431.0,6.98812,3.0,40647.0,0.73806,9.4682,0.10562,michel-temer
