PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abrindo,1.0,631.0,15.84786,3.0,41447.0,0.72382,21.89488,0.04567,jair-bolsonaro-1
abrir,1.0,631.0,15.84786,9.0,41447.0,2.17145,7.29829,0.13702,jair-bolsonaro-1
acima,4.0,631.0,63.39144,10.0,41447.0,2.41272,26.27385,0.03806,jair-bolsonaro-1
acreditados,1.0,631.0,15.84786,1.0,41447.0,0.24127,65.68463,0.01522,jair-bolsonaro-1
agradecer,1.0,631.0,15.84786,1.0,41447.0,0.24127,65.68463,0.01522,jair-bolsonaro-1
agradecido,1.0,631.0,15.84786,1.0,41447.0,0.24127,65.68463,0.01522,jair-bolsonaro-1
agropecuário,1.0,631.0,15.84786,1.0,41447.0,0.24127,65.68463,0.01522,jair-bolsonaro-1
alcançaremos,1.0,631.0,15.84786,1.0,41447.0,0.24127,65.68463,0.01522,jair-bolsonaro-1
amarras,1.0,631.0,15.84786,3.0,41447.0,0.72382,21.89488,0.04567,jair-bolsonaro-1
ambiente,1.0,631.0,15.84786,18.0,41447.0,4.3429,3.64915,0.27404,jair-bolsonaro-1
amigo,1.0,631.0,15.84786,2.0,41447.0,0.48254,32.84231,0.03045,jair-bolsonaro-1
anos,1.0,631.0,15.84786,73.0,41447.0,17.61285,0.89979,1.11137,jair-bolsonaro-1
apenas,1.0,631.0,15.84786,48.0,41447.0,11.58106,1.36843,0.73076,jair-bolsonaro-1
apoio,2.0,631.0,31.69572,57.0,41447.0,13.7525,2.30472,0.43389,jair-bolsonaro-1
aqui,5.0,631.0,79.2393,46.0,41447.0,11.09851,7.13963,0.14006,jair-bolsonaro-1
armadas,1.0,631.0,15.84786,26.0,41447.0,6.27307,2.52633,0.39583,jair-bolsonaro-1
aumento,1.0,631.0,15.84786,20.0,41447.0,4.82544,3.28423,0.30449,jair-bolsonaro-1
bem,1.0,631.0,15.84786,93.0,41447.0,22.43829,0.70629,1.41586,jair-bolsonaro-1
boas,1.0,631.0,15.84786,4.0,41447.0,0.96509,16.42116,0.0609,jair-bolsonaro-1
bons,1.0,631.0,15.84786,8.0,41447.0,1.93018,8.21058,0.12179,jair-bolsonaro-1
brasil,13.0,631.0,206.02219,267.0,41447.0,64.41962,3.19813,0.31268,jair-bolsonaro-1
brasileira,3.0,631.0,47.54358,66.0,41447.0,15.92395,2.98566,0.33493,jair-bolsonaro-1
brasileiras,1.0,631.0,15.84786,34.0,41447.0,8.20325,1.9319,0.51762,jair-bolsonaro-1
brasileiro,4.0,631.0,63.39144,105.0,41447.0,25.33356,2.50227,0.39964,jair-bolsonaro-1
brasileiros,5.0,631.0,79.2393,122.0,41447.0,29.43518,2.69199,0.37147,jair-bolsonaro-1
brasília,1.0,631.0,15.84786,2.0,41447.0,0.48254,32.84231,0.03045,jair-bolsonaro-1
burocracia,1.0,631.0,15.84786,1.0,41447.0,0.24127,65.68463,0.01522,jair-bolsonaro-1
busca,1.0,631.0,15.84786,13.0,41447.0,3.13654,5.05266,0.19792,jair-bolsonaro-1
básico,1.0,631.0,15.84786,8.0,41447.0,1.93018,8.21058,0.12179,jair-bolsonaro-1
cada,2.0,631.0,31.69572,95.0,41447.0,22.92084,1.38283,0.72315,jair-bolsonaro-1
caminhos,1.0,631.0,15.84786,13.0,41447.0,3.13654,5.05266,0.19792,jair-bolsonaro-1
campanha,2.0,631.0,31.69572,23.0,41447.0,5.54926,5.71171,0.17508,jair-bolsonaro-1
capacidades,1.0,631.0,15.84786,1.0,41447.0,0.24127,65.68463,0.01522,jair-bolsonaro-1
capazes,1.0,631.0,15.84786,16.0,41447.0,3.86035,4.10529,0.24359,jair-bolsonaro-1
capítulo,2.0,631.0,31.69572,2.0,41447.0,0.48254,65.68463,0.01522,jair-bolsonaro-1
casa,4.0,631.0,63.39144,21.0,41447.0,5.06671,12.51136,0.07993,jair-bolsonaro-1
central,1.0,631.0,15.84786,8.0,41447.0,1.93018,8.21058,0.12179,jair-bolsonaro-1
cenário,1.0,631.0,15.84786,6.0,41447.0,1.44763,10.94744,0.09135,jair-bolsonaro-1
certo,1.0,631.0,15.84786,30.0,41447.0,7.23816,2.18949,0.45673,jair-bolsonaro-1
chamado,1.0,631.0,15.84786,2.0,41447.0,0.48254,32.84231,0.03045,jair-bolsonaro-1
chefes,5.0,631.0,79.2393,24.0,41447.0,5.79053,13.6843,0.07308,jair-bolsonaro-1
cidadão,1.0,631.0,15.84786,20.0,41447.0,4.82544,3.28423,0.30449,jair-bolsonaro-1
classe,1.0,631.0,15.84786,22.0,41447.0,5.30798,2.98566,0.33493,jair-bolsonaro-1
collor,1.0,631.0,15.84786,2.0,41447.0,0.48254,32.84231,0.03045,jair-bolsonaro-1
colocar,1.0,631.0,15.84786,9.0,41447.0,2.17145,7.29829,0.13702,jair-bolsonaro-1
combater,1.0,631.0,15.84786,10.0,41447.0,2.41272,6.56846,0.15224,jair-bolsonaro-1
começamos,1.0,631.0,15.84786,1.0,41447.0,0.24127,65.68463,0.01522,jair-bolsonaro-1
companheiro,1.0,631.0,15.84786,7.0,41447.0,1.6889,9.38352,0.10657,jair-bolsonaro-1
compatriotas,1.0,631.0,15.84786,10.0,41447.0,2.41272,6.56846,0.15224,jair-bolsonaro-1
competição,1.0,631.0,15.84786,8.0,41447.0,1.93018,8.21058,0.12179,jair-bolsonaro-1
componente,1.0,631.0,15.84786,4.0,41447.0,0.96509,16.42116,0.0609,jair-bolsonaro-1
compromisso,2.0,631.0,31.69572,39.0,41447.0,9.40961,3.36844,0.29687,jair-bolsonaro-1
comércio,1.0,631.0,15.84786,31.0,41447.0,7.47943,2.11886,0.47195,jair-bolsonaro-1
condições,1.0,631.0,15.84786,66.0,41447.0,15.92395,0.99522,1.0048,jair-bolsonaro-1
confiado,1.0,631.0,15.84786,2.0,41447.0,0.48254,32.84231,0.03045,jair-bolsonaro-1
confiante,1.0,631.0,15.84786,3.0,41447.0,0.72382,21.89488,0.04567,jair-bolsonaro-1
confiança,3.0,631.0,47.54358,60.0,41447.0,14.47632,3.28423,0.30449,jair-bolsonaro-1
confiaram,1.0,631.0,15.84786,1.0,41447.0,0.24127,65.68463,0.01522,jair-bolsonaro-1
congressistas,2.0,631.0,31.69572,13.0,41447.0,3.13654,10.10533,0.09896,jair-bolsonaro-1
congresso,3.0,631.0,47.54358,73.0,41447.0,17.61285,2.69937,0.37046,jair-bolsonaro-1
conquistar,1.0,631.0,15.84786,3.0,41447.0,0.72382,21.89488,0.04567,jair-bolsonaro-1
consciente,1.0,631.0,15.84786,8.0,41447.0,1.93018,8.21058,0.12179,jair-bolsonaro-1
constitucional,1.0,631.0,15.84786,24.0,41447.0,5.79053,2.73686,0.36538,jair-bolsonaro-1
constituição,1.0,631.0,15.84786,60.0,41447.0,14.47632,1.09474,0.91346,jair-bolsonaro-1
construir,1.0,631.0,15.84786,17.0,41447.0,4.10162,3.8638,0.25881,jair-bolsonaro-1
construção,2.0,631.0,31.69572,21.0,41447.0,5.06671,6.25568,0.15985,jair-bolsonaro-1
contamos,1.0,631.0,15.84786,3.0,41447.0,0.72382,21.89488,0.04567,jair-bolsonaro-1
contas,1.0,631.0,15.84786,14.0,41447.0,3.37781,4.69176,0.21314,jair-bolsonaro-1
contemporâneo,1.0,631.0,15.84786,3.0,41447.0,0.72382,21.89488,0.04567,jair-bolsonaro-1
contratos,1.0,631.0,15.84786,4.0,41447.0,0.96509,16.42116,0.0609,jair-bolsonaro-1
convoco,1.0,631.0,15.84786,5.0,41447.0,1.20636,13.13693,0.07612,jair-bolsonaro-1
corrupção,1.0,631.0,15.84786,21.0,41447.0,5.06671,3.12784,0.31971,jair-bolsonaro-1
